Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
326.4,9.778e+2,4.751e+2,5.027e+2,1.241e-7
326.6,9.515e+2,4.721e+2,4.794e+2,1.045e-7
326.9,9.218e+2,4.779e+2,4.439e+2,9.465e-8
327.1,9.086e+2,4.880e+2,4.206e+2,9.842e-8
327.4,8.977e+2,5.110e+2,3.867e+2,1.149e-7
327.6,8.954e+2,5.306e+2,3.649e+2,1.304e-7
327.9,8.967e+2,5.639e+2,3.328e+2,1.560e-7
328.1,8.989e+2,5.874e+2,3.115e+2,1.723e-7
328.4,9.013e+2,6.221e+2,2.792e+2,1.927e-7
328.6,9.012e+2,6.438e+2,2.574e+2,2.023e-7
328.9,8.972e+2,6.726e+2,2.247e+2,2.100e-7
329.1,8.921e+2,6.889e+2,2.032e+2,2.111e-7
329.4,8.809e+2,7.085e+2,1.725e+2,2.083e-7
329.6,8.712e+2,7.178e+2,1.534e+2,2.049e-7
329.9,8.526e+2,7.252e+2,1.274e+2,2.002e-7
330.1,8.368e+2,7.248e+2,1.121e+2,1.987e-7
330.4,8.064e+2,7.140e+2,9.245e+1,2.009e-7
330.6,7.807e+2,6.991e+2,8.160e+1,2.060e-7
330.9,7.331e+2,6.645e+2,6.859e+1,2.195e-7
331.1,6.957e+2,6.337e+2,6.191e+1,2.323e-7
331.4,6.326e+2,5.782e+2,5.443e+1,2.563e-7
331.6,5.877e+2,5.369e+2,5.075e+1,2.749e-7
331.9,5.192e+2,4.727e+2,4.643e+1,3.053e-7
332.1,4.746e+2,4.307e+2,4.393e+1,3.264e-7
332.4,4.121e+2,3.720e+2,4.014e+1,3.580e-7
332.6,3.743e+2,3.370e+2,3.735e+1,3.784e-7
332.9,3.242e+2,2.916e+2,3.263e+1,4.072e-7
333.1,2.954e+2,2.663e+2,2.919e+1,4.253e-7
333.4,2.589e+2,2.350e+2,2.388e+1,4.513e-7
333.6,2.388e+2,2.183e+2,2.047e+1,4.689e-7
333.9,2.146e+2,1.987e+2,1.590e+1,4.974e-7
334.1,2.023e+2,1.890e+2,1.339e+1,5.189e-7
334.4,1.895e+2,1.789e+2,1.060e+1,5.554e-7
334.6,1.846e+2,1.752e+2,9.405e+0,5.821e-7
334.9,1.827e+2,1.741e+2,8.532e+0,6.224e-7
335.1,1.849e+2,1.764e+2,8.467e+0,6.465e-7
335.4,1.933e+2,1.844e+2,8.928e+0,6.723e-7
335.6,2.020e+2,1.925e+2,9.475e+0,6.791e-7
335.9,2.189e+2,2.085e+2,1.044e+1,6.690e-7
336.1,2.321e+2,2.210e+2,1.108e+1,6.475e-7
336.4,2.536e+2,2.416e+2,1.191e+1,5.942e-7
336.6,2.682e+2,2.558e+2,1.235e+1,5.467e-7
336.9,2.897e+2,2.769e+2,1.283e+1,4.633e-7
337.1,3.036e+2,2.905e+2,1.307e+1,4.036e-7
337.4,3.243e+2,3.109e+2,1.336e+1,3.146e-7
337.6,3.389e+2,3.254e+2,1.357e+1,2.591e-7
337.9,3.647e+2,3.508e+2,1.394e+1,1.854e-7
338.1,3.862e+2,3.720e+2,1.426e+1,1.441e-7
338.4,4.279e+2,4.131e+2,1.482e+1,9.443e-8
338.6,4.633e+2,4.481e+2,1.521e+1,6.917e-8
338.9,5.289e+2,5.131e+2,1.576e+1,4.144e-8
339.1,5.806e+2,5.645e+2,1.605e+1,2.856e-8
339.4,6.678e+2,6.515e+2,1.628e+1,1.560e-8
339.6,7.300e+2,7.137e+2,1.629e+1,1.010e-8
339.9,8.246e+2,8.085e+2,1.610e+1,5.018e-9
340.1,8.856e+2,8.697e+2,1.586e+1,3.047e-9
340.4,9.693e+2,9.538e+2,1.544e+1,1.373e-9
340.6,1.018e+3,1.003e+3,1.518e+1,7.809e-10
340.9,1.081e+3,1.066e+3,1.495e+1,3.186e-10
341.1,1.116e+3,1.101e+3,1.495e+1,1.695e-10
341.4,1.163e+3,1.148e+3,1.522e+1,6.250e-11
341.6,1.193e+3,1.177e+3,1.558e+1,3.107e-11
341.9,1.240e+3,1.224e+3,1.637e+1,1.034e-11
342.1,1.275e+3,1.258e+3,1.702e+1,4.801e-12
342.4,1.335e+3,1.317e+3,1.811e+1,1.441e-12
342.6,1.379e+3,1.361e+3,1.888e+1,6.243e-13
342.9,1.449e+3,1.429e+3,2.002e+1,1.689e-13
343.1,1.492e+3,1.472e+3,2.077e+1,6.825e-14
343.4,1.546e+3,1.524e+3,2.187e+1,1.663e-14
343.6,1.568e+3,1.545e+3,2.263e+1,6.267e-15
343.9,1.571e+3,1.547e+3,2.387e+1,1.375e-15
344.1,1.551e+3,1.526e+3,2.486e+1,4.831e-16
344.4,1.485e+3,1.459e+3,2.669e+1,9.542e-17
344.6,1.421e+3,1.393e+3,2.822e+1,3.125e-17
344.9,1.304e+3,1.273e+3,3.103e+1,5.554e-18
345.1,1.218e+3,1.185e+3,3.325e+1,1.695e-18
345.4,1.092e+3,1.055e+3,3.700e+1,2.712e-19
345.6,1.016e+3,9.767e+2,3.968e+1,7.714e-20
345.9,9.247e+2,8.809e+2,4.377e+1,1.110e-20
346.1,8.802e+2,8.338e+2,4.642e+1,2.937e-21
346.4,8.382e+2,7.880e+2,5.014e+1,3.804e-22
346.6,8.242e+2,7.717e+2,5.245e+1,9.400e-23
346.9,8.179e+2,7.621e+2,5.578e+1,
347.1,8.195e+2,7.615e+2,5.805e+1,
347.4,8.246e+2,7.627e+2,6.183e+1,
347.6,8.270e+2,7.623e+2,6.475e+1,
347.9,8.266e+2,7.568e+2,6.984e+1,
348.1,8.230e+2,7.494e+2,7.362e+1,
348.4,8.123e+2,7.329e+2,7.942e+1,
348.6,8.021e+2,7.191e+2,8.297e+1,
348.9,7.830e+2,6.960e+2,8.699e+1,
349.1,7.684e+2,6.801e+2,8.832e+1,
349.4,7.458e+2,6.582e+2,8.765e+1,
349.6,7.319e+2,6.466e+2,8.527e+1,
349.9,7.165e+2,6.376e+2,7.889e+1,
350.1,7.128e+2,6.397e+2,7.305e+1,
350.4,7.224e+2,6.597e+2,6.270e+1,
350.6,7.418e+2,6.865e+2,5.526e+1,
350.9,7.943e+2,7.501e+2,4.417e+1,
351.1,8.461e+2,8.088e+2,3.725e+1,
351.4,9.487e+2,9.206e+2,2.808e+1,
351.6,1.032e+3,1.009e+3,2.292e+1,
351.9,1.175e+3,1.158e+3,1.666e+1,
352.1,1.278e+3,1.265e+3,1.338e+1,
352.4,1.439e+3,1.429e+3,9.617e+0,
352.6,1.546e+3,1.538e+3,7.721e+0,
352.9,1.703e+3,1.697e+3,5.566e+0,
353.1,1.804e+3,1.799e+3,4.475e+0,
353.4,1.952e+3,1.949e+3,3.211e+0,
353.6,2.051e+3,2.048e+3,2.555e+0,
353.9,2.208e+3,2.206e+3,1.782e+0,
354.1,2.325e+3,2.324e+3,1.379e+0,
354.4,2.530e+3,2.529e+3,9.133e-1,
354.6,2.693e+3,2.692e+3,6.788e-1,
354.9,2.986e+3,2.985e+3,4.196e-1,
355.1,3.217e+3,3.217e+3,2.969e-1,
355.4,3.620e+3,3.620e+3,1.697e-1,
355.6,3.923e+3,3.923e+3,1.138e-1,
355.9,4.417e+3,4.417e+3,6.023e-2,
356.1,4.764e+3,4.763e+3,3.883e-2,
356.4,5.285e+3,5.285e+3,2.109e-2,
356.6,5.616e+3,5.616e+3,1.634e-2,
356.9,6.058e+3,6.058e+3,1.833e-2,
357.1,6.296e+3,6.296e+3,2.670e-2,
357.4,6.539e+3,6.539e+3,5.523e-2,
357.6,6.611e+3,6.611e+3,9.103e-2,
357.9,6.574e+3,6.574e+3,1.872e-1,
358.1,6.453e+3,6.453e+3,2.950e-1,
358.4,6.149e+3,6.149e+3,5.596e-1,
358.6,5.884e+3,5.883e+3,8.335e-1,
358.9,5.436e+3,5.435e+3,1.453e+0,
359.1,5.133e+3,5.131e+3,2.045e+0,
359.4,4.718e+3,4.715e+3,3.275e+0,
359.6,4.489e+3,4.485e+3,4.361e+0,
359.9,4.239e+3,4.232e+3,6.424e+0,
360.1,4.137e+3,4.129e+3,8.091e+0,
360.4,4.071e+3,4.060e+3,1.097e+1,
360.6,4.072e+3,4.058e+3,1.308e+1,
360.9,4.112e+3,4.095e+3,1.634e+1,
361.1,4.147e+3,4.129e+3,1.844e+1,
361.4,4.187e+3,4.166e+3,2.123e+1,
361.6,4.193e+3,4.170e+3,2.271e+1,
361.9,4.161e+3,4.137e+3,2.412e+1,
362.1,4.109e+3,4.085e+3,2.446e+1,
362.4,3.989e+3,3.965e+3,2.400e+1,
362.6,3.885e+3,3.862e+3,2.309e+1,
362.9,3.702e+3,3.681e+3,2.098e+1,
363.1,3.567e+3,3.547e+3,1.920e+1,
363.4,3.353e+3,3.337e+3,1.623e+1,
363.6,3.207e+3,3.192e+3,1.419e+1,
363.9,2.985e+3,2.973e+3,1.130e+1,
364.1,2.836e+3,2.826e+3,9.569e+0,
364.4,2.611e+3,2.604e+3,7.388e+0,
364.6,2.460e+3,2.454e+3,6.234e+0,
364.9,2.232e+3,2.227e+3,4.937e+0,
365.1,2.080e+3,2.076e+3,4.331e+0,
365.4,1.859e+3,1.856e+3,3.723e+0,
365.6,1.721e+3,1.718e+3,3.465e+0,
365.9,1.536e+3,1.533e+3,3.207e+0,
366.1,1.433e+3,1.430e+3,3.075e+0,
366.4,1.317e+3,1.314e+3,2.881e+0,
366.6,1.268e+3,1.265e+3,2.731e+0,
366.9,1.239e+3,1.236e+3,2.461e+0,
367.1,1.246e+3,1.244e+3,2.250e+0,
367.4,1.292e+3,1.290e+3,1.902e+0,
367.6,1.340e+3,1.339e+3,1.661e+0,
367.9,1.429e+3,1.427e+3,1.309e+0,
368.1,1.493e+3,1.492e+3,1.092e+0,
368.4,1.590e+3,1.589e+3,8.092e-1,
368.6,1.652e+3,1.651e+3,6.545e-1,
368.9,1.741e+3,1.740e+3,4.769e-1,
369.1,1.799e+3,1.798e+3,3.938e-1,
369.4,1.890e+3,1.889e+3,3.169e-1,
369.6,1.958e+3,1.958e+3,2.933e-1,
369.9,2.083e+3,2.083e+3,2.920e-1,
370.1,2.188e+3,2.187e+3,3.106e-1,
370.4,2.387e+3,2.387e+3,3.656e-1,
370.6,2.554e+3,2.554e+3,4.226e-1,
370.9,2.863e+3,2.862e+3,5.505e-1,
371.1,3.111e+3,3.110e+3,6.773e-1,
371.4,3.546e+3,3.545e+3,9.646e-1,
371.6,3.876e+3,3.874e+3,1.249e+0,
371.9,4.421e+3,4.419e+3,1.873e+0,
372.1,4.810e+3,4.807e+3,2.458e+0,
372.4,5.409e+3,5.405e+3,3.656e+0,
372.6,5.804e+3,5.799e+3,4.697e+0,
372.9,6.362e+3,6.356e+3,6.647e+0,
373.1,6.694e+3,6.686e+3,8.198e+0,
373.4,7.106e+3,7.095e+3,1.084e+1,
373.6,7.310e+3,7.297e+3,1.274e+1,
373.9,7.496e+3,7.480e+3,1.563e+1,
374.1,7.535e+3,7.518e+3,1.746e+1,
374.4,7.469e+3,7.450e+3,1.987e+1,
374.6,7.347e+3,7.326e+3,2.111e+1,
374.9,7.057e+3,7.035e+3,2.229e+1,
375.1,6.802e+3,6.780e+3,2.254e+1,
375.4,6.346e+3,6.324e+3,2.211e+1,
375.6,6.002e+3,5.980e+3,2.130e+1,
375.9,5.443e+3,5.424e+3,1.944e+1,
376.1,5.053e+3,5.035e+3,1.786e+1,
376.4,4.457e+3,4.441e+3,1.519e+1,
376.6,4.063e+3,4.050e+3,1.331e+1,
376.9,3.497e+3,3.487e+3,1.056e+1,
377.1,3.147e+3,3.138e+3,8.842e+0,
377.4,2.679e+3,2.672e+3,6.558e+0,
377.6,2.414e+3,2.409e+3,5.267e+0,
377.9,2.100e+3,2.096e+3,3.705e+0,
378.1,1.950e+3,1.947e+3,2.911e+0,
378.4,1.819e+3,1.817e+3,2.070e+0,
378.6,1.795e+3,1.793e+3,1.720e+0,
378.9,1.851e+3,1.849e+3,1.474e+0,
379.1,1.948e+3,1.946e+3,1.473e+0,
379.4,2.179e+3,2.177e+3,1.677e+0,
379.6,2.387e+3,2.385e+3,1.930e+0,
379.9,2.773e+3,2.771e+3,2.448e+0,
380.1,3.075e+3,3.072e+3,2.861e+0,
380.4,3.580e+3,3.577e+3,3.540e+0,
380.6,3.942e+3,3.938e+3,4.003e+0,
380.9,4.496e+3,4.491e+3,4.662e+0,
381.1,4.856e+3,4.851e+3,5.048e+0,
381.4,5.349e+3,5.344e+3,5.502e+0,
381.6,5.628e+3,5.622e+3,5.701e+0,
381.9,5.941e+3,5.935e+3,5.820e+0,
382.1,6.067e+3,6.062e+3,5.775e+0,
382.4,6.122e+3,6.116e+3,5.529e+0,
382.6,6.067e+3,6.062e+3,5.259e+0,
382.9,5.861e+3,5.857e+3,4.725e+0,
383.1,5.652e+3,5.648e+3,4.307e+0,
383.4,5.258e+3,5.255e+3,3.631e+0,
383.6,4.959e+3,4.956e+3,3.170e+0,
383.9,4.486e+3,4.483e+3,2.503e+0,
384.1,4.169e+3,4.167e+3,2.091e+0,
384.4,3.713e+3,3.711e+3,1.544e+0,
384.6,3.431e+3,3.430e+3,1.232e+0,
384.9,3.052e+3,3.051e+3,8.485e-1,
385.1,2.830e+3,2.830e+3,6.468e-1,
385.4,2.545e+3,2.545e+3,4.171e-1,
385.6,2.385e+3,2.385e+3,3.064e-1,
385.9,2.186e+3,2.186e+3,1.933e-1,
386.1,2.077e+3,2.077e+3,1.477e-1,
386.4,1.943e+3,1.943e+3,1.176e-1,
386.6,1.872e+3,1.871e+3,1.214e-1,
386.9,1.786e+3,1.785e+3,1.644e-1,
387.1,1.740e+3,1.740e+3,2.214e-1,
387.4,1.685e+3,1.685e+3,3.589e-1,
387.6,1.655e+3,1.655e+3,4.926e-1,
387.9,1.616e+3,1.616e+3,7.700e-1,
388.1,1.592e+3,1.591e+3,1.013e+0,
388.4,1.552e+3,1.551e+3,1.474e+0,
388.6,1.523e+3,1.521e+3,1.845e+0,
388.9,1.471e+3,1.469e+3,2.488e+0,7.418e-23
389.1,1.431e+3,1.428e+3,2.964e+0,2.402e-22
389.4,1.363e+3,1.359e+3,3.714e+0,1.349e-21
389.6,1.312e+3,1.308e+3,4.216e+0,4.156e-21
389.9,1.231e+3,1.226e+3,4.931e+0,2.165e-20
390.1,1.176e+3,1.171e+3,5.359e+0,6.347e-20
390.4,1.094e+3,1.088e+3,5.899e+0,3.069e-19
390.6,1.041e+3,1.035e+3,6.185e+0,8.559e-19
390.9,9.690e+2,9.625e+2,6.510e+0,3.841e-18
391.1,9.260e+2,9.193e+2,6.672e+0,1.019e-17
391.4,8.700e+2,8.631e+2,6.874e+0,4.244e-17
391.6,8.385e+2,8.315e+2,7.006e+0,1.071e-16
391.9,7.990e+2,7.917e+2,7.240e+0,4.141e-16
392.1,7.772e+2,7.698e+2,7.432e+0,9.947e-16
392.4,7.500e+2,7.422e+2,7.777e+0,3.567e-15
392.6,7.348e+2,7.268e+2,8.029e+0,8.153e-15
392.9,7.157e+2,7.074e+2,8.393e+0,2.714e-14
393.1,7.054e+2,6.968e+2,8.590e+0,5.900e-14
393.4,6.938e+2,6.850e+2,8.751e+0,1.823e-13
393.6,6.889e+2,6.802e+2,8.736e+0,3.770e-13
393.9,6.865e+2,6.780e+2,8.491e+0,1.081e-12
394.1,6.883e+2,6.802e+2,8.174e+0,2.127e-12
394.4,6.960e+2,6.885e+2,7.486e+0,5.659e-12
394.6,7.039e+2,6.970e+2,6.911e+0,1.060e-11
394.9,7.182e+2,7.123e+2,5.934e+0,2.616e-11
395.1,7.283e+2,7.231e+2,5.248e+0,4.662e-11
395.4,7.417e+2,7.374e+2,4.235e+0,1.068e-10
395.6,7.480e+2,7.443e+2,3.604e+0,1.811e-10
395.9,7.512e+2,7.484e+2,2.767e+0,3.850e-10
396.1,7.481e+2,7.458e+2,2.296e+0,6.209e-10
396.4,7.346e+2,7.328e+2,1.727e+0,1.225e-9
396.6,7.195e+2,7.180e+2,1.434e+0,1.880e-9
396.9,6.884e+2,6.873e+2,1.109e+0,3.443e-9
397.1,6.631e+2,6.621e+2,9.541e-1,5.026e-9
397.4,6.205e+2,6.197e+2,7.913e-1,8.542e-9
397.6,5.907e+2,5.900e+2,7.162e-1,1.186e-8
397.9,5.473e+2,5.466e+2,6.359e-1,1.871e-8
398.1,5.208e+2,5.202e+2,5.968e-1,2.473e-8
398.4,4.871e+2,4.866e+2,5.529e-1,3.620e-8
398.6,4.697e+2,4.692e+2,5.324e-1,4.552e-8
398.9,4.516e+2,4.511e+2,5.173e-1,6.183e-8
399.1,4.446e+2,4.441e+2,5.212e-1,7.398e-8
399.4,4.405e+2,4.399e+2,5.556e-1,9.328e-8
399.6,4.409e+2,4.403e+2,6.027e-1,1.062e-7
399.9,4.442e+2,4.435e+2,7.171e-1,1.243e-7
400.1,4.473e+2,4.465e+2,8.258e-1,1.348e-7
400.4,4.523e+2,4.513e+2,1.039e+0,1.466e-7
400.6,4.561e+2,4.549e+2,1.212e+0,1.513e-7
400.9,4.637e+2,4.622e+2,1.508e+0,1.532e-7
401.1,4.717e+2,4.700e+2,1.720e+0,1.509e-7
401.4,4.920e+2,4.899e+2,2.038e+0,1.428e-7
401.6,5.137e+2,5.114e+2,2.236e+0,1.348e-7
401.9,5.632e+2,5.607e+2,2.485e+0,1.205e-7
402.1,6.101e+2,6.075e+2,2.605e+0,1.101e-7
402.4,7.045e+2,7.018e+2,2.699e+0,9.503e-8
402.6,7.842e+2,7.815e+2,2.699e+0,8.589e-8
402.9,9.281e+2,9.255e+2,2.603e+0,7.442e-8
403.1,1.038e+3,1.036e+3,2.482e+0,6.851e-8
403.4,1.218e+3,1.216e+3,2.230e+0,6.219e-8
403.6,1.344e+3,1.342e+3,2.030e+0,5.948e-8
403.9,1.532e+3,1.530e+3,1.706e+0,5.702e-8
404.1,1.651e+3,1.649e+3,1.489e+0,5.605e-8
404.4,1.813e+3,1.811e+3,1.182e+0,5.492e-8
404.6,1.905e+3,1.904e+3,9.994e-1,5.405e-8
404.9,2.016e+3,2.015e+3,7.670e-1,5.226e-8
405.1,2.070e+3,2.069e+3,6.422e-1,5.067e-8
405.4,2.120e+3,2.120e+3,4.988e-1,4.779e-8
405.6,2.133e+3,2.133e+3,4.295e-1,4.569e-8
405.9,2.123e+3,2.123e+3,3.583e-1,4.261e-8
406.1,2.097e+3,2.097e+3,3.282e-1,4.080e-8
406.4,2.030e+3,2.030e+3,3.018e-1,3.873e-8
406.6,1.967e+3,1.967e+3,2.931e-1,3.788e-8
406.9,1.848e+3,1.847e+3,2.884e-1,3.740e-8
407.1,1.752e+3,1.752e+3,2.888e-1,3.756e-8
407.4,1.589e+3,1.589e+3,2.926e-1,3.826e-8
407.6,1.470e+3,1.470e+3,2.968e-1,3.889e-8
407.9,1.283e+3,1.283e+3,3.062e-1,3.974e-8
408.1,1.158e+3,1.157e+3,3.159e-1,4.010e-8
408.4,9.746e+2,9.742e+2,3.393e-1,4.008e-8
408.6,8.606e+2,8.602e+2,3.642e-1,3.961e-8
408.9,7.076e+2,7.072e+2,4.228e-1,3.819e-8
409.1,6.202e+2,6.197e+2,4.811e-1,3.676e-8
409.4,5.136e+2,5.130e+2,6.075e-1,3.399e-8
409.6,4.594e+2,4.587e+2,7.233e-1,3.179e-8
409.9,4.027e+2,4.018e+2,9.522e-1,2.812e-8
410.1,3.802e+2,3.791e+2,1.144e+0,2.551e-8
410.4,3.667e+2,3.652e+2,1.492e+0,2.154e-8
410.6,3.692e+2,3.675e+2,1.759e+0,1.894e-8
410.9,3.871e+2,3.849e+2,2.200e+0,1.522e-8
411.1,4.063e+2,4.038e+2,2.508e+0,1.293e-8
411.4,4.432e+2,4.403e+2,2.964e+0,9.849e-9
411.6,4.715e+2,4.683e+2,3.249e+0,8.065e-9
411.9,5.172e+2,5.135e+2,3.618e+0,5.804e-9
412.1,5.484e+2,5.446e+2,3.815e+0,4.570e-9
412.4,5.946e+2,5.906e+2,4.027e+0,3.095e-9
412.6,6.240e+2,6.198e+2,4.118e+0,2.338e-9
412.9,6.641e+2,6.599e+2,4.213e+0,1.486e-9
413.1,6.874e+2,6.832e+2,4.280e+0,1.075e-9
413.4,7.158e+2,7.113e+2,4.469e+0,6.393e-10
413.6,7.295e+2,7.248e+2,4.717e+0,4.422e-10
413.9,7.415e+2,7.361e+2,5.396e+0,2.459e-10
414.1,7.434e+2,7.373e+2,6.137e+0,1.625e-10
414.4,7.371e+2,7.293e+2,7.820e+0,8.433e-11
414.6,7.273e+2,7.179e+2,9.399e+0,5.321e-11
414.9,7.053e+2,6.927e+2,1.255e+1,2.576e-11
415.1,6.870e+2,6.718e+2,1.519e+1,1.551e-11
415.4,6.567e+2,6.368e+2,1.994e+1,6.997e-12
415.6,6.364e+2,6.128e+2,2.356e+1,4.020e-12
415.9,6.088e+2,5.793e+2,2.947e+1,1.690e-12
416.1,5.941e+2,5.606e+2,3.355e+1,9.261e-13
416.4,5.805e+2,5.410e+2,3.950e+1,3.626e-13
416.6,5.781e+2,5.350e+2,4.311e+1,1.895e-13
416.9,5.862e+2,5.386e+2,4.760e+1,6.910e-14
417.1,5.995e+2,5.498e+2,4.974e+1,3.444e-14
417.4,6.308e+2,5.794e+2,5.143e+1,1.169e-14
417.6,6.584e+2,6.069e+2,5.146e+1,5.558e-15
417.9,7.073e+2,6.575e+2,4.985e+1,1.757e-15
418.1,7.432e+2,6.955e+2,4.778e+1,7.963e-16
418.4,7.986e+2,7.551e+2,4.347e+1,2.344e-16
418.6,8.344e+2,7.943e+2,4.003e+1,1.013e-16
418.9,8.830e+2,8.485e+2,3.449e+1,2.776e-17
419.1,9.104e+2,8.795e+2,3.083e+1,1.144e-17
419.4,9.420e+2,9.161e+2,2.587e+1,2.919e-18
419.6,9.562e+2,9.330e+2,2.316e+1,1.147e-18
419.9,9.674e+2,9.470e+2,2.037e+1,2.724e-19
420.1,9.689e+2,9.494e+2,1.952e+1,1.020e-19
420.4,9.647e+2,9.447e+2,1.995e+1,2.256e-20
420.6,9.590e+2,9.376e+2,2.144e+1,8.058e-21
420.9,9.494e+2,9.239e+2,2.548e+1,1.659e-21
421.1,9.438e+2,9.145e+2,2.929e+1,5.650e-22
421.4,9.388e+2,9.023e+2,3.646e+1,1.083e-22
421.6,9.385e+2,8.965e+2,4.197e+1,3.517e-23
421.9,9.429e+2,8.921e+2,5.084e+1,6.277e-24
422.1,9.489e+2,8.921e+2,5.680e+1,1.943e-24
422.4,9.615e+2,8.964e+2,6.513e+1,
422.6,9.715e+2,9.016e+2,6.990e+1,
422.9,9.876e+2,9.124e+2,7.527e+1,
423.1,9.987e+2,9.213e+2,7.738e+1,
423.4,1.015e+3,9.369e+2,7.809e+1,
423.6,1.026e+3,9.490e+2,7.688e+1,
423.9,1.043e+3,9.698e+2,7.273e+1,
424.1,1.054e+3,9.856e+2,6.861e+1,
424.4,1.073e+3,1.012e+3,6.094e+1,
424.6,1.087e+3,1.032e+3,5.518e+1,
424.9,1.110e+3,1.064e+3,4.619e+1,
425.1,1.125e+3,1.085e+3,4.029e+1,
425.4,1.148e+3,1.116e+3,3.204e+1,
425.6,1.161e+3,1.134e+3,2.713e+1,
425.9,1.175e+3,1.154e+3,2.087e+1,
426.1,1.180e+3,1.162e+3,1.746e+1,
426.4,1.177e+3,1.164e+3,1.350e+1,
426.6,1.168e+3,1.156e+3,1.156e+1,
426.9,1.143e+3,1.133e+3,9.599e+0,
427.1,1.120e+3,1.111e+3,8.835e+0,
427.4,1.076e+3,1.068e+3,8.371e+0,
427.6,1.044e+3,1.035e+3,8.442e+0,
427.9,9.942e+2,9.852e+2,9.005e+0,
428.1,9.634e+2,9.538e+2,9.621e+0,
428.4,9.250e+2,9.142e+2,1.080e+1,
428.6,9.069e+2,8.952e+2,1.169e+1,
428.9,8.937e+2,8.807e+2,1.307e+1,
429.1,8.949e+2,8.810e+2,1.395e+1,
429.4,9.113e+2,8.962e+2,1.508e+1,
429.6,9.307e+2,9.150e+2,1.566e+1,
429.9,9.693e+2,9.532e+2,1.617e+1,
430.1,9.990e+2,9.827e+2,1.625e+1,
430.4,1.045e+3,1.029e+3,1.597e+1,
430.6,1.073e+3,1.057e+3,1.555e+1,
430.9,1.108e+3,1.093e+3,1.465e+1,
431.1,1.124e+3,1.110e+3,1.394e+1,
431.4,1.135e+3,1.122e+3,1.290e+1,
431.6,1.132e+3,1.120e+3,1.232e+1,
431.9,1.111e+3,1.099e+3,1.181e+1,
432.1,1.086e+3,1.074e+3,1.180e+1,
432.4,1.033e+3,1.020e+3,1.244e+1,
432.6,9.874e+2,9.741e+2,1.335e+1,
432.9,9.079e+2,8.924e+2,1.547e+1,
433.1,8.489e+2,8.315e+2,1.737e+1,
433.4,7.555e+2,7.347e+2,2.085e+1,
433.6,6.926e+2,6.691e+2,2.348e+1,
433.9,6.017e+2,5.740e+2,2.766e+1,
434.1,5.460e+2,5.156e+2,3.044e+1,
434.4,4.744e+2,4.401e+2,3.429e+1,
434.6,4.367e+2,4.002e+2,3.648e+1,
434.9,3.987e+2,3.597e+2,3.897e+1,
435.1,3.872e+2,3.472e+2,3.999e+1,
435.4,3.926e+2,3.521e+2,4.049e+1,
435.6,4.120e+2,3.719e+2,4.013e+1,
435.9,4.647e+2,4.261e+2,3.869e+1,
436.1,5.151e+2,4.779e+2,3.722e+1,
436.4,6.110e+2,5.765e+2,3.450e+1,
436.6,6.863e+2,6.539e+2,3.248e+1,
436.9,8.114e+2,7.820e+2,2.938e+1,
437.1,8.991e+2,8.717e+2,2.738e+1,
437.4,1.030e+3,1.006e+3,2.463e+1,
437.6,1.113e+3,1.090e+3,2.300e+1,
437.9,1.223e+3,1.202e+3,2.090e+1,
438.1,1.283e+3,1.263e+3,1.972e+1,
438.4,1.350e+3,1.331e+3,1.823e+1,
438.6,1.377e+3,1.359e+3,1.739e+1,
438.9,1.390e+3,1.374e+3,1.633e+1,
439.1,1.382e+3,1.366e+3,1.573e+1,
439.4,1.347e+3,1.332e+3,1.496e+1,
439.6,1.310e+3,1.296e+3,1.454e+1,
439.9,1.240e+3,1.226e+3,1.403e+1,
440.1,1.185e+3,1.171e+3,1.377e+1,
440.4,1.094e+3,1.080e+3,1.347e+1,
440.6,1.029e+3,1.016e+3,1.332e+1,
440.9,9.304e+2,9.173e+2,1.311e+1,
441.1,8.639e+2,8.510e+2,1.296e+1,
441.4,7.653e+2,7.527e+2,1.266e+1,
441.6,7.013e+2,6.889e+2,1.238e+1,
441.9,6.095e+2,5.977e+2,1.183e+1,
442.1,5.520e+2,5.406e+2,1.137e+1,
442.4,4.725e+2,4.620e+2,1.053e+1,
442.6,4.247e+2,4.148e+2,9.912e+0,
442.9,3.616e+2,3.527e+2,8.925e+0,
443.1,3.255e+2,3.172e+2,8.266e+0,
443.4,2.804e+2,2.731e+2,7.331e+0,
443.6,2.562e+2,2.494e+2,6.774e+0,
443.9,2.279e+2,2.219e+2,6.075e+0,
444.1,2.140e+2,2.082e+2,5.715e+0,
444.4,1.993e+2,1.939e+2,5.345e+0,
444.6,1.930e+2,1.878e+2,5.212e+0,
444.9,1.877e+2,1.825e+2,5.178e+0,
445.1,1.863e+2,1.810e+2,5.261e+0,
445.4,1.865e+2,1.809e+2,5.540e+0,
445.6,1.875e+2,1.817e+2,5.829e+0,
445.9,1.898e+2,1.834e+2,6.429e+0,
446.1,1.914e+2,1.845e+2,6.951e+0,
446.4,1.934e+2,1.855e+2,7.947e+0,
446.6,1.942e+2,1.854e+2,8.773e+0,
446.9,1.942e+2,1.840e+2,1.029e+1,7.951e-23
447.1,1.934e+2,1.819e+2,1.152e+1,2.233e-22
447.4,1.908e+2,1.771e+2,1.371e+1,1.022e-21
