Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
227.8,2.712e+3,3.117e+2,2.400e+3,
228.1,2.467e+3,3.589e+2,2.108e+3,
228.3,2.335e+3,3.991e+2,1.936e+3,
228.6,2.176e+3,4.770e+2,1.699e+3,
228.8,2.102e+3,5.407e+2,1.561e+3,
229.1,2.050e+3,6.453e+2,1.405e+3,
229.3,2.053e+3,7.107e+2,1.342e+3,
229.6,2.095e+3,7.798e+2,1.316e+3,
229.8,2.137e+3,7.956e+2,1.341e+3,
230.1,2.220e+3,7.672e+2,1.452e+3,
230.3,2.313e+3,7.184e+2,1.595e+3,
230.6,2.616e+3,6.201e+2,1.996e+3,
230.8,3.038e+3,5.511e+2,2.487e+3,
231.1,4.300e+3,4.588e+2,3.841e+3,
231.3,5.806e+3,4.084e+2,5.397e+3,
231.6,9.574e+3,3.462e+2,9.227e+3,
231.8,1.340e+4,3.093e+2,1.309e+4,
232.1,2.152e+4,2.539e+2,2.127e+4,
232.3,2.863e+4,2.154e+2,2.841e+4,
232.6,4.171e+4,1.572e+2,4.155e+4,
232.8,5.179e+4,1.208e+2,5.167e+4,
233.1,6.825e+4,7.444e+1,6.818e+4,
233.3,7.957e+4,5.071e+1,7.952e+4,
233.6,9.577e+4,2.615e+1,9.575e+4,
233.8,1.051e+5,1.614e+1,1.051e+5,
234.1,1.152e+5,8.084e+0,1.152e+5,
234.3,1.184e+5,5.869e+0,1.184e+5,
234.6,1.176e+5,5.377e+0,1.176e+5,
234.8,1.138e+5,6.287e+0,1.138e+5,
235.1,1.051e+5,9.166e+0,1.051e+5,
235.3,9.881e+4,1.229e+1,9.880e+4,
235.6,9.076e+4,1.963e+1,9.074e+4,
235.8,8.717e+4,2.692e+1,8.714e+4,
236.1,8.533e+4,4.226e+1,8.529e+4,
236.3,8.687e+4,5.533e+1,8.681e+4,
236.6,9.427e+4,7.773e+1,9.419e+4,
236.8,1.032e+5,9.284e+1,1.031e+5,
237.1,1.231e+5,1.122e+2,1.230e+5,
237.3,1.402e+5,1.211e+2,1.400e+5,
237.6,1.684e+5,1.266e+2,1.683e+5,
237.8,1.866e+5,1.252e+2,1.865e+5,
238.1,2.088e+5,1.172e+2,2.087e+5,
238.3,2.185e+5,1.093e+2,2.184e+5,
238.6,2.257e+5,9.519e+1,2.256e+5,
238.8,2.266e+5,8.503e+1,2.265e+5,
239.1,2.253e+5,6.917e+1,2.253e+5,
239.3,2.239e+5,5.842e+1,2.239e+5,
239.6,2.217e+5,4.273e+1,2.216e+5,
239.8,2.195e+5,3.311e+1,2.195e+5,
240.1,2.135e+5,2.091e+1,2.135e+5,
240.3,2.066e+5,1.461e+1,2.066e+5,
240.6,1.910e+5,8.154e+0,1.910e+5,
240.8,1.770e+5,5.830e+0,1.770e+5,
241.1,1.516e+5,5.599e+0,1.516e+5,
241.3,1.330e+5,8.380e+0,1.330e+5,
241.6,1.052e+5,2.030e+1,1.052e+5,
241.8,8.831e+4,3.709e+1,8.827e+4,
242.1,6.745e+4,8.546e+1,6.737e+4,
242.3,5.711e+4,1.406e+2,5.697e+4,
242.6,4.675e+4,2.703e+2,4.648e+4,
242.8,4.267e+4,3.924e+2,4.228e+4,
243.1,3.937e+4,6.251e+2,3.874e+4,
243.3,3.825e+4,8.017e+2,3.745e+4,
243.6,3.721e+4,1.066e+3,3.614e+4,
243.8,3.658e+4,1.219e+3,3.536e+4,
244.1,3.545e+4,1.385e+3,3.406e+4,
244.3,3.457e+4,1.452e+3,3.312e+4,
244.6,3.326e+4,1.509e+3,3.176e+4,
244.8,3.257e+4,1.548e+3,3.102e+4,
245.1,3.211e+4,1.665e+3,3.044e+4,
245.3,3.231e+4,1.814e+3,3.050e+4,
245.6,3.338e+4,2.183e+3,3.120e+4,
245.8,3.447e+4,2.549e+3,3.192e+4,
246.1,3.630e+4,3.327e+3,3.298e+4,
246.3,3.749e+4,4.047e+3,3.345e+4,
246.6,3.916e+4,5.550e+3,3.361e+4,
246.8,4.035e+4,6.915e+3,3.344e+4,
247.1,4.273e+4,9.613e+3,3.312e+4,
247.3,4.503e+4,1.184e+4,3.319e+4,
247.6,4.988e+4,1.566e+4,3.422e+4,
247.8,5.401e+4,1.828e+4,3.572e+4,
248.1,6.101e+4,2.180e+4,3.921e+4,
248.3,6.565e+4,2.349e+4,4.216e+4,
248.6,7.136e+4,2.456e+4,4.681e+4,
248.8,7.367e+4,2.414e+4,4.953e+4,
249.1,7.409e+4,2.193e+4,5.216e+4,
249.3,7.222e+4,1.965e+4,5.257e+4,
249.6,6.661e+4,1.564e+4,5.096e+4,
249.8,6.159e+4,1.297e+4,4.862e+4,
250.1,5.343e+4,9.507e+3,4.393e+4,
250.3,4.835e+4,7.765e+3,4.058e+4,
250.6,4.231e+4,6.133e+3,3.618e+4,
250.8,3.976e+4,5.675e+3,3.409e+4,
251.1,3.849e+4,5.781e+3,3.271e+4,
251.3,3.936e+4,6.257e+3,3.310e+4,
251.6,4.299e+4,7.331e+3,3.565e+4,
251.8,4.669e+4,8.136e+3,3.855e+4,
252.1,5.354e+4,9.224e+3,4.431e+4,
252.3,5.852e+4,9.747e+3,4.877e+4,
252.6,6.582e+4,1.011e+4,5.572e+4,
252.8,7.012e+4,1.005e+4,6.007e+4,
253.1,7.501e+4,9.602e+3,6.541e+4,
253.3,7.693e+4,9.136e+3,6.780e+4,
253.6,7.746e+4,8.313e+3,6.915e+4,
253.8,7.621e+4,7.728e+3,6.848e+4,
254.1,7.220e+4,6.820e+3,6.538e+4,
