,Wavelength,Sum,Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
104,234.13,27.74,27.74,4.5920000000000006e-35,0
105,234.18,21.69,21.69,5.2849999999999996e-36,0
106,234.23,15.51,15.51,5.55e-37,0
107,234.28,10.21,10.21,5.316e-38,0
108,234.33,6.369,6.369,4.643e-39,0
109,234.38,4.177,4.177,3.6979999999999995e-40,0
110,234.43,3.658,3.658,0,0
111,234.48,4.85,4.85,0,0
112,234.53,7.87,7.87,0,0
113,234.58,12.81,12.81,0,0
114,234.63,19.48,19.48,0,0
115,234.68,27.2,27.2,0,0
116,234.73,34.73,34.73,0,0
117,234.78,40.51,40.51,0,0
118,234.83,43.16,43.16,0,0
119,234.88,42.0,42.0,0,0
120,234.93,37.33,37.33,0,0
121,234.98,30.31,30.31,0,0
122,235.03,22.47,22.47,0,0
123,235.08,15.22,15.22,0,0
124,235.13,9.412,9.412,0,0
125,235.18,5.322,5.322,0,0
126,235.23,2.765,2.765,0,0
127,235.28,1.3619999999999999,1.3619999999999999,0,0
128,235.33,0.7552,0.7552,1.2549999999999998e-41,0
129,235.38,0.7396,0.7396,1.5940000000000002e-40,0
130,235.43,1.324,1.324,1.851e-39,0
131,235.48,2.748,2.748,1.9659999999999998e-38,0
132,235.53,5.445,5.445,1.912e-37,0
133,235.58,9.929,9.929,1.6999999999999998e-36,0
134,235.63,16.57,16.57,1.381e-35,0
135,235.68,25.27,25.27,1.027e-34,0
136,235.73,35.24,35.24,6.994999999999999e-34,0
137,235.78,44.92,44.92,4.353e-33,0
138,235.83,52.33,52.33,2.478e-32,0
139,235.88,55.73,55.73,1.28e-31,0
140,235.93,54.24,54.24,6.143e-31,0
141,235.98,48.26,48.26,2.675e-30,0
142,236.03,39.25,39.25,1.065e-29,0
143,236.08,29.18,29.18,3.8849999999999996e-29,0
144,236.13,19.83,19.83,1.294e-28,0
145,236.18,12.32,12.32,3.9479999999999995e-28,0
146,236.23,6.992000000000001,6.992000000000001,1.1000000000000001e-27,0
147,236.28,3.6289999999999996,3.6289999999999996,2.8079999999999997e-27,0
148,236.33,1.7209999999999999,1.7209999999999999,6.553e-27,0
149,236.38,0.7462,0.7462,1.3980000000000003e-26,0
150,236.43,0.2958,0.2958,2.72e-26,0
151,236.48,0.1072,0.1072,4.874e-26,0
152,236.53,0.03583,0.03583,7.962000000000001e-26,0
153,236.58,0.01214,0.01214,1.189e-25,0
154,236.63,0.008274,0.008274,1.624e-25,0
155,236.68,0.01896,0.01896,2.0300000000000002e-25,0
156,236.73,0.057379999999999994,0.057379999999999994,2.3210000000000003e-25,0
157,236.78,0.1645,0.1645,2.427e-25,0
158,236.83,0.4329,0.4329,2.3210000000000003e-25,0
159,236.88,1.042,1.042,2.0300000000000002e-25,0
160,236.93,2.296,2.296,1.624e-25,0
161,236.98,4.629,4.629,1.189e-25,0
162,237.03,8.54,8.54,7.962000000000001e-26,0
163,237.08,14.42,14.42,4.874e-26,0
164,237.13,22.27,22.27,2.72e-26,0
165,237.18,31.48,31.48,1.3980000000000003e-26,0
166,237.23,40.72,40.72,6.553e-27,0
167,237.28,48.2,48.2,2.8079999999999997e-27,0
168,237.33,52.21,52.21,1.1000000000000001e-27,0
169,237.38,51.75,51.75,3.9479999999999995e-28,0
170,237.43,46.93,46.93,1.294e-28,0
171,237.48,38.95,38.95,3.8849999999999996e-29,0
172,237.53,29.58,29.58,1.065e-29,0
173,237.58,20.56,20.56,2.675e-30,0
174,237.63,13.08,13.08,6.143e-31,0
175,237.68,7.609,7.609,1.28e-31,0
176,237.73,4.052,4.052,2.478e-32,0
177,237.78,1.975,1.975,4.353e-33,0
178,237.83,0.8804,0.8804,6.994999999999999e-34,0
179,237.88,0.3593,0.3593,1.027e-34,0
180,237.93,0.134,0.134,1.381e-35,0
181,237.98,0.04583,0.04583,1.6999999999999998e-36,0
182,238.03,0.01433,0.01433,1.912e-37,0
183,238.08,0.0041,0.0041,1.9659999999999998e-38,0
184,238.13,0.001072,0.001072,1.851e-39,0
185,238.18,0.0002572,0.0002572,1.5940000000000002e-40,0
186,238.23,5.637e-05,5.637e-05,1.2549999999999998e-41,0
187,238.28,1.131e-05,1.131e-05,0,0
188,238.33,2.1109999999999998e-06,2.1109999999999998e-06,0,0
189,238.38,5.821e-07,5.821e-07,0,0
190,238.43,1.4719999999999998e-06,1.4719999999999998e-06,0,0
191,238.48,7.917e-06,7.917e-06,0,0
192,238.53,4.041e-05,4.041e-05,0,0
193,238.58,0.0001891,0.0001891,0,0
194,238.63,0.0008117,0.0008117,0,0
195,238.68,0.003191,0.003191,0,0
196,238.73,0.0114,0.0114,0,0
197,238.78,0.038,0.038,4.0579999999999995e-40,0
198,238.83,0.115,0.115,4.8059999999999994e-39,0
199,238.88,0.319,0.319,5.217e-38,0
200,238.93,0.8114,0.8114,5.1959999999999995e-37,0
201,238.98,1.891,1.891,4.7439999999999995e-36,0
202,239.03,4.038,4.038,3.9729999999999995e-35,0
203,239.08,7.903,7.903,3.0399999999999997e-34,0
204,239.13,14.18,14.18,2.1479999999999997e-33,0
205,239.18,23.31,23.31,1.3869999999999998e-32,0
206,239.23,35.11,35.11,8.214e-32,0
207,239.28,48.49,48.49,4.4609999999999995e-31,0
208,239.33,61.36,61.36,2.2209999999999997e-30,0
209,239.38,71.17,71.17,1.0139999999999999e-29,0
210,239.43,75.65,75.65,4.248e-29,0
211,239.48,73.69,73.69,1.631e-28,0
