,Wavelength,Sum,C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
3987,433.19,1.583e-05,0,1.583e-05,8.879000000000001e-19
3988,433.24,1.138e-05,0,1.138e-05,6.257000000000001e-19
3989,433.29,7.973e-06,0,7.973e-06,4.292e-19
3990,433.34,5.439e-06,0,5.439e-06,2.8670000000000003e-19
3991,433.39,3.6139999999999996e-06,0,3.6139999999999996e-06,1.8649999999999998e-19
3992,433.44,2.339e-06,0,2.339e-06,1.181e-19
3993,433.49,1.474e-06,0,1.474e-06,7.278999999999999e-20
3994,433.54,9.05e-07,0,9.05e-07,4.369e-20
3995,433.59,5.41e-07,0,5.41e-07,2.5540000000000003e-20
3996,433.64,3.15e-07,0,3.15e-07,1.453e-20
3997,433.69,1.786e-07,0,1.786e-07,8.050000000000001e-21
3998,433.74,9.859e-08,0,9.859e-08,4.342e-21
3999,433.79,5.3e-08,0,5.3e-08,2.28e-21
4000,433.84,2.775e-08,0,2.775e-08,1.166e-21
4001,433.89,1.4150000000000001e-08,0,1.4150000000000001e-08,5.805000000000001e-22
4002,433.94,7.023e-09,0,7.023e-09,2.8139999999999994e-22
4003,433.99,3.3950000000000004e-09,0,3.3950000000000004e-09,1.3280000000000001e-22
4004,434.04,1.598e-09,0,1.598e-09,6.102e-23
4005,434.09,7.326e-10,0,7.326e-10,2.73e-23
4006,434.14,3.27e-10,0,3.27e-10,1.189e-23
4007,434.19,1.4209999999999998e-10,0,1.4209999999999998e-10,5.042e-24
4008,434.24,6.015e-11,0,6.015e-11,2.0819999999999996e-24
4009,434.29,2.479e-11,0,2.479e-11,8.37e-25
4010,434.34,9.948000000000001e-12,0,9.948000000000001e-12,3.276e-25
4011,434.39,3.887e-12,0,3.887e-12,1.249e-25
4012,434.44,1.4790000000000003e-12,0,1.4790000000000003e-12,4.6330000000000003e-26
4013,434.49,5.49e-13,9.522e-16,5.48e-13,1.6740000000000003e-26
4014,434.54,2.015e-13,3.761e-15,1.977e-13,5.887e-27
4015,434.59,8.394e-14,1.4469999999999997e-14,6.946e-14,2.016e-27
4016,434.64,7.801e-14,5.425e-14,2.3759999999999998e-14,6.7220000000000005e-28
4017,434.69,2.06e-13,1.981e-13,7.915e-15,2.182e-28
4018,434.74,7.073e-13,7.047e-13,2.567e-15,6.897999999999999e-29
4019,434.79,2.4430000000000004e-12,2.442e-12,8.107999999999999e-16,2.123e-29
4020,434.84,8.246e-12,8.245e-12,2.494e-16,6.36e-30
4021,434.89,2.712e-11,2.712e-11,7.467e-17,1.855e-30
4022,434.94,8.688e-11,8.688e-11,2.177e-17,5.27e-31
4023,434.99,2.712e-10,2.712e-10,6.182000000000001e-18,1.457e-31
4024,435.04,8.245e-10,8.245e-10,1.7090000000000001e-18,3.9239999999999996e-32
4025,435.09,2.442e-09,2.442e-09,4.601e-19,1.029e-32
4026,435.14,7.047e-09,7.047e-09,1.206e-19,2.626e-33
4027,435.19,1.981e-08,1.981e-08,3.0789999999999994e-20,0
4028,435.24,5.425e-08,5.425e-08,5.681e-21,0
4029,435.29,1.4470000000000002e-07,1.4470000000000002e-07,0,7.298e-35
4030,435.34,3.761e-07,3.761e-07,0,3.611e-34
4031,435.39,9.522e-07,9.522e-07,0,1.3950000000000001e-33
4032,435.44,2.3480000000000002e-06,2.3480000000000002e-06,0,5.2659999999999995e-33
4033,435.49,5.642e-06,5.642e-06,0,1.9319999999999997e-32
4034,435.54,1.321e-05,1.321e-05,0,6.909e-32
4035,435.59,3.011e-05,3.011e-05,0,2.4069999999999997e-31
4036,435.64,6.688e-05,6.688e-05,0,8.171999999999999e-31
4037,435.69,0.0001447,0.0001447,0,2.703e-30
4038,435.74,0.0003051,0.0003051,0,8.711e-30
4039,435.79,0.0006263999999999999,0.0006263999999999999,0,2.735e-29
4040,435.84,0.001253,0.001253,0,8.368e-29
4041,435.89,0.002442,0.002442,0,2.495e-28
4042,435.94,0.004637,0.004637,0,7.246e-28
4043,435.99,0.008575,0.008575,0,2.051e-27
4044,436.04,0.01545,0.01545,0,5.6560000000000005e-27
4045,436.09,0.02712,0.02712,0,1.52e-26
4046,436.14,0.04637,0.04637,0,3.979e-26
4047,436.19,0.07723,0.07723,0,1.0150000000000001e-25
4048,436.24,0.1253,0.1253,0,2.5239999999999997e-25
4049,436.29,0.1981,0.1981,0,6.114e-25
4050,436.34,0.3051,0.3051,0,1.4430000000000001e-24
4051,436.39,0.4576,0.4576,0,3.32e-24
4052,436.44,0.6688,0.6688,0,7.442e-24
4053,436.49,0.9521,0.9521,0,1.6260000000000002e-23
4054,436.54,1.321,1.321,0,3.461e-23
4055,436.59,1.784,1.784,0,7.18e-23
4056,436.64,2.3480000000000003,2.3480000000000003,0,1.4519999999999997e-22
4057,436.69,3.011,3.011,0,2.861e-22
4058,436.74,3.761,3.761,0,5.496000000000001e-22
4059,436.79,4.5760000000000005,4.5760000000000005,0,1.029e-21
4060,436.84,5.425,5.425,0,1.878e-21
4061,436.89,6.263999999999999,6.263999999999999,0,3.342e-21
4062,436.94,7.047000000000001,7.047000000000001,0,5.798e-21
4063,436.99,7.723,7.723,0,9.808e-21
4064,437.04,8.245,8.245,0,1.618e-20
4065,437.09,8.575,8.575,0,2.604e-20
4066,437.14,8.687999999999999,8.687999999999999,0,4.089e-20
4067,437.19,8.575,8.575,0,6.263999999999999e-20
4068,437.24,8.245,8.245,0,9.366e-20
4069,437.29,7.723,7.723,0,1.367e-19
4070,437.34,7.047000000000001,7.047000000000001,0,1.9489999999999997e-19
4071,437.39,6.263999999999999,6.263999999999999,0,2.715e-19
