,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
47,202.47,7.726e-06,0,7.726e-06,0
48,202.52,2.933e-05,0,2.933e-05,0
49,202.57,9.86e-05,0,9.86e-05,0
50,202.62,0.0002937,0,0.0002937,0
51,202.67,0.0007751,0,0.0007751,0
52,202.72,0.001812,0,0.001812,0
53,202.77,0.0037530000000000003,0,0.0037530000000000003,0
54,202.82,0.006887000000000001,0,0.006887000000000001,0
55,202.87,0.0112,0,0.0112,0
56,202.92,0.01612,0,0.01612,0
57,202.97,0.020569999999999998,0,0.020569999999999998,0
58,203.02,0.02325,0,0.02325,0
59,203.07,0.023280000000000002,0,0.023280000000000002,0
60,203.12,0.02065,0,0.02065,0
61,203.17,0.01623,0,0.01623,0
62,203.22,0.0113,0,0.0113,0
63,203.27,0.006971,0,0.006971,0
64,203.32,0.0038090000000000003,0,0.0038090000000000003,0
65,203.37,0.0018449999999999999,0,0.0018449999999999999,0
66,203.42,0.0007957999999999999,0,0.0007957999999999999,0
