,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
110,207.22,2.6800000000000002e-08,0,2.6800000000000002e-08,0
111,207.27,7.519e-08,0,7.519e-08,0
112,207.32,1.8789999999999998e-07,0,1.8789999999999998e-07,0
113,207.37,4.182e-07,0,4.182e-07,0
114,207.42,8.292e-07,0,8.292e-07,0
115,207.47,1.465e-06,0,1.465e-06,0
116,207.52,2.3090000000000003e-06,0,2.3090000000000003e-06,0
117,207.57,3.2510000000000003e-06,0,3.2510000000000003e-06,0
118,207.62,4.102e-06,0,4.102e-06,0
119,207.67,4.666e-06,0,4.666e-06,0
120,207.72,4.846e-06,0,4.846e-06,0
121,207.77,4.697e-06,0,4.697e-06,0
122,207.82,4.391e-06,0,4.391e-06,0
123,207.87,4.115e-06,0,4.115e-06,0
124,207.92,3.95e-06,0,3.95e-06,0
125,207.97,3.847e-06,0,3.847e-06,0
126,208.02,3.682e-06,0,3.682e-06,0
127,208.07,3.3460000000000002e-06,0,3.3460000000000002e-06,0
128,208.12,2.823e-06,0,2.823e-06,0
129,208.17,2.182e-06,0,2.182e-06,0
130,208.22,1.536e-06,0,1.536e-06,0
131,208.27,9.820999999999999e-07,0,9.820999999999999e-07,0
132,208.32,5.693e-07,0,5.693e-07,0
133,208.37,2.9920000000000003e-07,0,2.9920000000000003e-07,0
134,208.42,1.43e-07,0,1.43e-07,0
135,208.47,6.37e-08,0,6.37e-08,0
136,208.52,3.034e-08,0,3.034e-08,0
137,208.57,2.302e-08,0,2.302e-08,0
138,208.62,3.2239999999999996e-08,0,3.2239999999999996e-08,0
139,208.67,5.606e-08,0,5.606e-08,0
140,208.72,9.812000000000001e-08,0,9.812000000000001e-08,0
141,208.77,1.6739999999999998e-07,0,1.6739999999999998e-07,0
142,208.82,2.784e-07,0,2.784e-07,0
143,208.87,4.4829999999999996e-07,0,4.4829999999999996e-07,0
144,208.92,6.886e-07,0,6.886e-07,0
145,208.97,9.925e-07,0,9.925e-07,0
146,209.02,1.3290000000000001e-06,0,1.3290000000000001e-06,0
147,209.07,1.658e-06,0,1.658e-06,0
148,209.12,1.963e-06,0,1.963e-06,0
149,209.17,2.2980000000000003e-06,0,2.2980000000000003e-06,0
150,209.22,2.8060000000000003e-06,0,2.8060000000000003e-06,0
151,209.27,3.688e-06,0,3.688e-06,0
152,209.32,5.1239999999999996e-06,0,5.1239999999999996e-06,0
153,209.37,7.167e-06,0,7.167e-06,1.806e-38
154,209.42,9.648e-06,0,9.648e-06,3.0549999999999994e-37
155,209.47,1.217e-05,0,1.217e-05,4.638e-36
156,209.52,1.421e-05,0,1.421e-05,6.270999999999999e-35
157,209.57,1.525e-05,0,1.525e-05,7.577999999999999e-34
158,209.62,1.502e-05,0,1.502e-05,8.185e-33
159,209.67,1.356e-05,0,1.356e-05,7.902999999999999e-32
160,209.72,1.121e-05,0,1.121e-05,6.823e-31
161,209.77,8.481e-06,0,8.481e-06,5.267e-30
162,209.82,5.861e-06,0,5.861e-06,3.637e-29
163,209.87,3.693e-06,0,3.693e-06,2.247e-28
164,209.92,2.117e-06,0,2.117e-06,1.243e-27
165,209.97,1.101e-06,0,1.101e-06,6.154e-27
166,210.02,5.182e-07,0,5.182e-07,2.731e-26
167,210.07,2.203e-07,0,2.203e-07,1.0870000000000001e-25
168,210.12,8.436e-08,0,8.436e-08,3.88e-25
169,210.17,2.906e-08,0,2.906e-08,1.2450000000000001e-24
170,210.22,8.989e-09,0,8.989e-09,3.591e-24
171,210.27,2.4940000000000003e-09,0,2.4940000000000003e-09,9.328e-24
172,210.32,6.2e-10,0,6.2e-10,2.1859999999999998e-23
173,210.37,1.38e-10,0,1.38e-10,4.625e-23
174,210.42,2.7480000000000002e-11,0,2.7480000000000002e-11,8.849999999999999e-23
175,210.47,4.893e-12,0,4.893e-12,1.534e-22
176,210.52,7.789e-13,0,7.789e-13,2.409e-22
177,210.57,1.108e-13,0,1.108e-13,3.432e-22
178,210.62,1.4080000000000002e-14,0,1.4080000000000002e-14,4.4360000000000005e-22
179,210.67,1.5980000000000001e-15,0,1.5980000000000001e-15,5.201e-22
180,210.72,1.6200000000000002e-16,0,1.6200000000000002e-16,5.527000000000001e-22
181,210.77,1.467e-17,0,1.467e-17,5.318e-22
182,210.82,1.1859999999999999e-18,0,1.1859999999999999e-18,4.627e-22
183,210.87,8.59e-20,0,8.552999999999999e-20,3.636e-22
184,210.92,5.727e-21,0,5.469e-21,2.5760000000000003e-22
185,210.97,4.794000000000001e-22,0,3.15e-22,1.6440000000000001e-22
186,211.02,9.431e-23,0,0,9.431e-23
187,211.07,4.861e-23,0,0,4.861e-23
