Wavelength;Al;Bb;Ca;Cc;Cll;Ff;Kk;li;Na;Nn;Oo;Ti;;
202.67;0.09103;0.0007751;0,000000392;0,00233;0;0;2180000;0;5,19E-17;1,42E-10;0.052770000000000004;38700000;;
202.72;0.0278;0.001812;0,000000331;0,00155;0;0;0,00000155;0;7,77E-29;9.29e-13;0.04691;290000000;;
202.77;0.007513;0.0037530000000000003;2510000;923000000;0;0;0,00000989;0;1,05E-28;5390;0.036930000000000004;0,000193;;
202.82;0.001797;0.006887000000000001;1720000;0,000496;0;0;562000000;0;1,28E-15;277000;0.02574;0,00115;;
202.87;0.0003802;0.0112;0,000000108;0,00024;0;0;0,000285;0;1,42E-28;0,000000127;0.01589;0,00613;;
202.92;0,0712;0.01612;68600;0,000104;0;0;12900000000;0;1,47E-28;0,000000513;0.008683;0,0291;;
202.97;1.18e-05;0.020569999999999998;563000;403000000;0;0;0,00519;0;1,44E-28;0,00000185;0.004202;0.00012309999999999998;;
203.02;1.73e-06;0.02325;7,52E-08;140000000;0;0;0,0186;0;1,36E-28;0,00000589;0.001801;0.00046560000000000004;;
203.07;2240000000;0.023280000000000002;0,000000131;43500000;0;0;0,0596;0;1,25E-15;167000000;0.0006833;0.0015710000000000001;;
203.12;0,0000258;0.02065;0,000000229;0,00000121;0;0;0.00016999999999999999;0;1,1E-15;0,0000418;0.00022959999999999997;0.004734;;
203.17;0,00000262;0.01623;3650000;0,000000327;0;0;0.0004315;0;9,19E-17;0,0000932;6.83e-05;0.01273;;
203.22;0,000000235;0.0113;517000;0,000000186;0;0;0.0009761000000000001;0;7,16E-17;0,000184;0,018;0.03057;;
203.27;1,87E-08;0.006971;6.5e-10;479000;0;0;0.001968;0;5,27E-29;0,000323;0,0042;0.06557;;
203.32;1,32E-09;0.0038090000000000003;0,000000725;0,00000161;0;0;0.0035380000000000003;0;3,88E-29;0,000503;0,000867;0.1257;;
203.37;8,21E-11;0.0018449999999999999;0,000000716;0,00000494;0;0;0.005682;0;3,23E-29;6.95e-07;0,000159;0.2153;;
203.42;4,53E-12;0.0007957999999999999;627000;0,0000135;0;0;0.008167;0;3,31E-17;0,000852;258000000;0.3305;;
206.12;0,00000418;0.0003184;0,000000487;325000000;0;0;0.01053;0;3,95E-29;0,000926;0,00000387;0.4556;;
206.17;7,9E-11;0.00015859999999999998;3.37e-10;0,0000698;0;0;0.012240000000000001;0;4,78E-29;893000000;0,000000695;0.5667;;
206.22;13000;0.00019350000000000001;0,000000215;0,000134;0;0;0.01287;0;5,47E-29;765000000;0,0000003;0.6409;;
