,Wavelength,Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
2694,352.81,1.835e-11,0,0,1.835e-11
2695,352.86,3.904e-11,0,0,3.904e-11
2696,352.91,7.981000000000001e-11,0,0,7.981000000000001e-11
2697,352.96,1.568e-10,0,0,1.568e-10
2698,353.01,2.959e-10,0,0,2.959e-10
2699,353.06,5.366e-10,0,0,5.366e-10
2700,353.11,9.349e-10,0,0,9.349e-10
2701,353.16,1.565e-09,0,0,1.565e-09
2702,353.21,2.518e-09,0,0,2.518e-09
2703,353.26,3.892e-09,0,0,3.892e-09
2704,353.31,5.7799999999999995e-09,0,0,5.7799999999999995e-09
2705,353.36,8.248e-09,0,0,8.248e-09
2706,353.41,1.131e-08,0,0,1.131e-08
2707,353.46,1.49e-08,0,0,1.49e-08
2708,353.51,1.8859999999999998e-08,0,0,1.8859999999999998e-08
2709,353.56,2.294e-08,0,0,2.294e-08
2710,353.61,2.6800000000000002e-08,0,0,2.6800000000000002e-08
2711,353.66,3.009e-08,0,0,3.009e-08
2712,353.71,3.247e-08,0,0,3.247e-08
2713,353.76,3.366e-08,0,0,3.366e-08
2714,353.81,3.352e-08,0,0,3.352e-08
2715,353.86,3.208e-08,0,0,3.208e-08
2716,353.91,2.9500000000000003e-08,0,0,2.9500000000000003e-08
2717,353.96,2.6060000000000003e-08,0,0,2.6060000000000003e-08
2718,354.01,2.213e-08,0,0,2.213e-08
2719,354.06,1.805e-08,0,0,1.805e-08
2720,354.11,1.4140000000000001e-08,0,0,1.4140000000000001e-08
2721,354.16,1.065e-08,0,0,1.065e-08
2722,354.21,7.706e-09,0,0,7.706e-09
2723,354.26,5.358000000000001e-09,0,0,5.358000000000001e-09
2724,354.31,3.579e-09,0,0,3.579e-09
2725,354.36,2.297e-09,0,0,2.297e-09
2726,354.41,1.417e-09,0,0,1.417e-09
2727,354.46,8.394e-10,0,0,8.394e-10
2728,354.51,4.779e-10,0,0,4.779e-10
2729,354.56,2.6139999999999995e-10,0,0,2.6139999999999995e-10
2730,354.61,1.374e-10,0,0,1.374e-10
2731,354.66,6.938999999999999e-11,0,0,6.938999999999999e-11
2732,354.71,3.3670000000000005e-11,0,0,3.3670000000000005e-11
2733,354.76,1.57e-11,0,0,1.57e-11
2734,354.81,7.033999999999999e-12,0,0,7.033999999999999e-12
2735,354.86,3.028e-12,0,0,3.028e-12
2736,354.91,1.2520000000000001e-12,0,0,1.2520000000000001e-12
2737,354.96,4.976e-13,0,0,4.976e-13
