,Wavelength,Sum,Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
4574,481.26,1.5430000000000001,0.4064,1.136,0
4575,481.31,1.575,0.5191,1.056,0
4576,481.36,1.629,0.6489,0.9797,0
4577,481.41,1.706,0.7939,0.912,0
4578,481.46,1.808,0.9507,0.8573,0
4579,481.51,1.933,1.114,0.8184,0
4580,481.56,2.074,1.278,0.796,0
4581,481.61,2.224,1.435,0.7891,0
4582,481.66,2.372,1.577,0.795,0
4583,481.71,2.505,1.696,0.8099,0
4584,481.76,2.614,1.785,0.8291,0
4585,481.81,2.6860000000000004,1.839,0.8477,0
4586,481.86,2.715,1.854,0.8611,0
4587,481.91,2.695,1.83,0.8652,0
4588,481.96,2.6239999999999997,1.767,0.8573,0
4589,482.01,2.506,1.67,0.8357,0
4590,482.06,2.346,1.546,0.8001,0
4591,482.11,2.151,1.4,0.7515,0
4592,482.16,1.932,1.24,0.6919,0
4593,482.21,1.7,1.0759999999999998,0.6241,0
4594,482.26,1.465,0.9136,0.5514,0
4595,482.31,1.236,0.7591,0.477,0
4596,482.36,1.021,0.6174,0.404,0
4597,482.41,0.8264,0.4914,0.335,0
4598,482.46,0.6548,0.3829,0.2719,0
4599,482.51,0.5079,0.2919,0.216,0
4600,482.56,0.3858,0.2179,0.1679,0
4601,482.61,0.287,0.1591,0.1278,0
4602,482.66,0.209,0.1138,0.09522,0
4603,482.71,0.149,0.0796,0.06942999999999999,0
4604,482.76,0.1041,0.05451,0.04955,0
4605,482.81,0.07117000000000001,0.036539999999999996,0.03463,0
4606,482.86,0.04767,0.023969999999999998,0.0237,0
4607,482.91,0.03128,0.015390000000000001,0.0159,0
4608,482.96,0.020130000000000002,0.00967,0.010459999999999999,0
4609,483.01,0.01272,0.005947999999999999,0.006776000000000001,0
4610,483.06,0.007923000000000001,0.00358,0.004342,0
4611,483.11,0.0048920000000000005,0.002109,0.002783,0
4612,483.16,0.003035,0.001216,0.001819,0
4613,483.21,0.001936,0.0006865,0.0012490000000000001,0
4614,483.26,0.001314,0.0003792,0.0009347000000000001,0
4615,483.31,0.0009855,0.00020510000000000003,0.0007803,0
4616,483.36,0.0008316,0.0001088,0.0007228,0
4617,483.41,0.0007772,5.69e-05,0.0007202999999999999,0
4618,483.46,0.0007754,3.006e-05,0.0007454,0
4619,483.51,0.0007977,1.751e-05,0.0007802000000000001,0
4620,483.56,0.0008269999999999999,1.393e-05,0.0008131,0
4621,483.61,0.0008542,1.773e-05,0.0008364,0
4622,483.66,0.0008762,3.049e-05,0.0008458000000000001,0
4623,483.71,0.0008962,5.748e-05,0.0008388,0
4624,483.76,0.0009243000000000001,0.0001093,0.0008150000000000001,0
4625,483.81,0.0009805,0.0002049,0.0007756,0
4626,483.86,0.001099,0.0003766,0.0007226,0
4627,483.91,0.0013369999999999999,0.0006781000000000001,0.0006591,0
4628,483.96,0.001784,0.0011949999999999999,0.0005884999999999999,0
4629,484.01,0.002577,0.0020629999999999997,0.0005143,0
4630,484.06,0.003925,0.0034850000000000003,0.00044,0
4631,484.11,0.0061329999999999996,0.005765,0.0003685,0
4632,484.16,0.009637,0.009335,0.0003021,0
4633,484.21,0.015040000000000001,0.0148,0.00024249999999999999,0
4634,484.26,0.02316,0.022969999999999997,0.0001906,0
4635,484.31,0.035039999999999995,0.03489,0.00014690000000000002,0
4636,484.36,0.05201,0.0519,0.0001111,0
4637,484.41,0.07566,0.07558,8.275e-05,0
4638,484.46,0.1078,0.1077,6.127e-05,0
4639,484.51,0.1504,0.1504,4.592e-05,0
4640,484.56,0.2055,0.2054,3.611e-05,0
4641,484.61,0.2748,0.2748,3.146e-05,0
4642,484.66,0.3599,0.3599,3.189e-05,0
4643,484.71,0.4614,0.4613,3.768e-05,0
4644,484.76,0.5791,0.579,4.954e-05,0
4645,484.81,0.7115,0.7114,6.857e-05,0
4646,484.86,0.8559,0.8558,9.628e-05,0
4647,484.91,1.008,1.008,0.0001345,0
4648,484.96,1.162,1.162,0.00018530000000000003,0
4649,485.01,1.3119999999999998,1.311,0.00025069999999999997,0
4650,485.06,1.449,1.449,0.0003325,0
4651,485.11,1.568,1.567,0.0004322,0
4652,485.16,1.66,1.66,0.0005503999999999999,0
4653,485.21,1.722,1.7209999999999999,0.0006867,0
4654,485.26,1.7469999999999999,1.7469999999999999,0.0008392999999999999,0
4655,485.31,1.7369999999999999,1.736,0.001005,0
4656,485.36,1.689,1.6880000000000002,0.00118,0
4657,485.41,1.609,1.608,0.0013570000000000001,0
4658,485.46,1.501,1.499,0.001531,0
4659,485.51,1.37,1.368,0.0016940000000000002,0
4660,485.56,1.224,1.2229999999999999,0.001838,0
4661,485.61,1.071,1.07,0.001959,0
4662,485.66,0.918,0.916,0.002049,0
4663,485.71,0.7701,0.768,0.002107,0
4664,485.76,0.6325,0.6303,0.00213,0
4665,485.81,0.5086,0.5065,0.002118,0
4666,485.86,0.4006,0.3985,0.002075,0
4667,485.91,0.3089,0.3069,0.002003,0
4668,485.96,0.2333,0.2314,0.001907,0
4669,486.01,0.1726,0.1708,0.0017929999999999999,0
4670,486.06,0.1251,0.1234,0.0016649999999999998,0
4671,486.11,0.08884,0.08731,0.0015300000000000001,0
4672,486.16,0.061860000000000005,0.06047,0.00139,0
4673,486.21,0.04225,0.041,0.0012490000000000001,0
4674,486.26,0.02833,0.027219999999999998,0.001111,0
4675,486.31,0.01867,0.01769,0.0009784,0
4676,486.36,0.0121,0.01125,0.0008522,0
4677,486.41,0.007742,0.0070079999999999995,0.0007339,0
4678,486.46,0.004898,0.004273,0.0006246,0
4679,486.51,0.003076,0.0025510000000000003,0.000525,0
4680,486.56,0.0019260000000000002,0.001491,0.0004358000000000001,0
4681,486.61,0.00121,0.0008527999999999999,0.0003572,0
4682,486.66,0.0007673,0.0004777,0.00028960000000000005,0
4683,486.71,0.0004947,0.00026189999999999997,0.00023280000000000002,0
4684,486.76,0.0003275,0.0001406,0.0001869,0
4685,486.81,0.0002254,7.389e-05,0.0001515,0
4686,486.86,0.0001647,3.802e-05,0.00012670000000000002,0
4687,486.91,0.0001312,1.915e-05,0.00011200000000000001,0
4688,486.96,0.00011690000000000001,9.442e-06,0.0001075,0
4689,487.01,0.0001176,4.558e-06,0.000113,0
4690,487.06,0.0001308,2.154e-06,0.0001286,0
4691,487.11,0.0001554,9.966e-07,0.0001544,0
4692,487.16,0.0001906,4.5140000000000003e-07,0.0001902,0
4693,487.21,0.0002359,2.002e-07,0.00023569999999999998,0
4694,487.26,0.0002904,8.689999999999999e-08,0.0002903,0
4695,487.31,0.00035299999999999996,3.693e-08,0.00035299999999999996,0
4696,487.36,0.00042189999999999996,1.5369999999999998e-08,0.00042189999999999996,0
4697,487.41,0.0004948999999999999,6.259e-09,0.0004948999999999999,0
4698,487.46,0.0005691,2.496e-09,0.0005691,0
4699,487.51,0.0006411,9.744e-10,0.0006411,0
4700,487.56,0.0007075,3.724e-10,0.0007075,0
4701,487.61,0.0007645999999999999,1.3930000000000003e-10,0.0007645999999999999,0
4702,487.66,0.0008092,5.104e-11,0.0008092,0
4703,487.71,0.0008386000000000001,1.83e-11,0.0008386000000000001,0
4704,487.76,0.000851,6.426e-12,0.000851,0
4705,487.81,0.0008457000000000001,2.209e-12,0.0008457000000000001,0
4706,487.86,0.0008231,7.431e-13,0.0008231,0
4707,487.91,0.0007844999999999999,2.448e-13,0.0007844999999999999,0
4708,487.96,0.0007325,7.894e-14,0.0007325,0
4709,488.01,0.0006703999999999999,2.492e-14,0.0006703999999999999,0
4710,488.06,0.0006019,7.703e-15,0.0006019,0
4711,488.11,0.0005316,2.331e-15,0.0005316,0
4712,488.16,0.00046399999999999995,6.905e-16,0.00046399999999999995,0
4713,488.21,0.0004046,2.0019999999999998e-16,0.0004046,0
4714,488.26,0.0003598,0,0.0003598,0
4715,488.31,0.00033769999999999997,0,0.00033769999999999997,0
4716,488.36,0.00034980000000000005,0,0.00034980000000000005,0
4717,488.41,0.00041289999999999995,0,0.00041289999999999995,0
4718,488.46,0.0005513,0,0.0005513,0
4719,488.51,0.0008007,0,0.0008007,0
4720,488.56,0.001212,0,0.001212,0
4721,488.61,0.0018559999999999998,0,0.0018559999999999998,0
4722,488.66,0.002827,0,0.002827,0
4723,488.71,0.004249,0,0.004249,0
4724,488.76,0.006278,0,0.006278,0
4725,488.81,0.0091,0,0.0091,0
4726,488.86,0.01293,0,0.01293,0
4727,488.91,0.018,0,0.018,0
4728,488.96,0.02455,0,0.02455,0
4729,489.01,0.03281,0,0.03281,0
4730,489.06,0.04294,0,0.04294,0
4731,489.11,0.05504,0,0.05504,0
4732,489.16,0.06913,0,0.06913,0
4733,489.21,0.08504,0,0.08504,0
4734,489.26,0.1025,0,0.1025,0
4735,489.31,0.121,0,0.121,0
4736,489.36,0.14,0,0.14,0
4737,489.41,0.1588,0,0.1588,0
4738,489.46,0.1765,0,0.1765,0
4739,489.51,0.1925,0,0.1925,0
4740,489.56,0.2059,0,0.2059,0
4741,489.61,0.2162,0,0.2162,0
4742,489.66,0.2231,0,0.2231,0
4743,489.71,0.2265,0,0.2265,0
4744,489.76,0.2266,0,0.2266,0
4745,489.81,0.2239,0,0.2239,0
4746,489.86,0.2189,0,0.2189,0
4747,489.91,0.2125,0,0.2125,0
4748,489.96,0.2056,0,0.2056,0
