,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
1216,427.74,1.7e-16,1.7e-16,0
1217,427.79,5.456e-16,5.456e-16,0
1218,427.84,1.7039999999999999e-15,1.7039999999999999e-15,0
1219,427.89,5.18e-15,5.18e-15,0
1220,427.94,1.5330000000000003e-14,1.5330000000000003e-14,0
1221,427.99,4.4139999999999995e-14,4.4139999999999995e-14,0
1222,428.04,1.237e-13,1.237e-13,0
1223,428.09,3.375e-13,3.375e-13,0
1224,428.14,8.963e-13,8.963e-13,0
1225,428.19,2.316e-12,2.316e-12,0
1226,428.24,5.827000000000001e-12,5.827000000000001e-12,0
1227,428.29,1.427e-11,1.427e-11,0
1228,428.34,3.4e-11,3.4e-11,0
1229,428.39,7.884999999999999e-11,7.884999999999999e-11,0
1230,428.44,1.78e-10,1.78e-10,0
1231,428.49,3.9109999999999997e-10,3.9109999999999997e-10,0
1232,428.54,8.365000000000001e-10,8.365000000000001e-10,0
1233,428.59,1.741e-09,1.741e-09,0
1234,428.64,3.5280000000000002e-09,3.5280000000000002e-09,0
1235,428.69,6.957e-09,6.957e-09,0
1236,428.74,1.335e-08,1.335e-08,0
1237,428.79,2.4940000000000004e-08,2.4940000000000004e-08,0
1238,428.84,4.535e-08,4.535e-08,0
1239,428.89,8.025000000000001e-08,8.025000000000001e-08,0
1240,428.94,1.382e-07,1.382e-07,0
1241,428.99,2.3170000000000002e-07,2.3170000000000002e-07,0
1242,429.04,3.7810000000000003e-07,3.7810000000000003e-07,0
1243,429.09,6.006e-07,6.006e-07,0
1244,429.14,9.284000000000001e-07,9.284000000000001e-07,0
1245,429.19,1.397e-06,1.397e-06,0
1246,429.24,2.045e-06,2.045e-06,0
1247,429.29,2.915e-06,2.915e-06,0
1248,429.34,4.044e-06,4.044e-06,0
1249,429.39,5.461e-06,5.461e-06,0
1250,429.44,7.176e-06,7.176e-06,0
1251,429.49,9.18e-06,9.18e-06,0
1252,429.54,1.143e-05,1.143e-05,0
1253,429.59,1.385e-05,1.385e-05,0
1254,429.64,1.633e-05,1.633e-05,0
1255,429.69,1.875e-05,1.875e-05,0
1256,429.74,2.095e-05,2.095e-05,0
1257,429.79,2.278e-05,2.278e-05,0
1258,429.84,2.411e-05,2.411e-05,0
1259,429.89,2.484e-05,2.484e-05,0
1260,429.94,2.491e-05,2.491e-05,0
1261,429.99,2.431e-05,2.431e-05,0
1262,430.04,2.309e-05,2.309e-05,0
1263,430.09,2.135e-05,2.135e-05,0
1264,430.14,1.921e-05,1.921e-05,0
1265,430.19,1.683e-05,1.683e-05,0
1266,430.24,1.434e-05,1.434e-05,0
1267,430.29,1.19e-05,1.19e-05,0
1268,430.34,9.612e-06,9.612e-06,0
