,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3399,395.53,2.6e-15,2.6e-15,0,0
3400,395.58,1.1449999999999999e-15,1.1449999999999999e-15,0,0
3401,395.63,4.881999999999999e-16,4.881999999999999e-16,0,0
3402,395.68,2.016e-16,2.016e-16,0,0
3403,395.73,8.062e-17,8.062e-17,0,0
3404,395.78,3.121e-17,3.121e-17,0,0
3405,395.83,1.1700000000000001e-17,1.1700000000000001e-17,0,0
3406,395.88,4.249e-18,4.249e-18,0,0
3407,395.93,1.4940000000000001e-18,1.4940000000000001e-18,0,0
3408,395.98,5.088e-19,5.088e-19,0,0
3409,396.03,1.6800000000000002e-19,1.6800000000000002e-19,0,0
3410,396.08,5.454999999999999e-20,5.454999999999999e-20,0,0
3411,396.13,1.9939999999999998e-20,1.9939999999999998e-20,0,0
3412,396.18,1.596e-20,1.596e-20,0,0
3413,396.23,3.605e-20,3.605e-20,0,0
3414,396.28,1.059e-19,1.059e-19,0,0
3415,396.33,3.114e-19,3.114e-19,0,0
3416,396.38,8.905e-19,8.905e-19,0,0
3417,396.43,2.468e-18,2.468e-18,0,0
3418,396.48,6.627999999999999e-18,6.627999999999999e-18,0,0
3419,396.53,1.725e-17,1.725e-17,0,0
3420,396.58,4.348e-17,4.348e-17,0,0
3421,396.63,1.062e-16,1.062e-16,0,0
3422,396.68,2.514e-16,2.514e-16,0,0
3423,396.73,5.766e-16,5.766e-16,0,0
3424,396.78,1.2810000000000001e-15,1.2810000000000001e-15,0,0
3425,396.83,2.759e-15,2.759e-15,0,0
3426,396.88,5.7560000000000004e-15,5.7560000000000004e-15,0,0
3427,396.93,1.164e-14,1.164e-14,0,0
3428,396.98,2.279e-14,2.279e-14,0,0
3429,397.03,4.325e-14,4.325e-14,0,0
3430,397.08,7.952999999999999e-14,7.952999999999999e-14,0,0
3431,397.13,1.417e-13,1.417e-13,0,0
3432,397.18,2.446e-13,2.446e-13,0,0
3433,397.23,4.092e-13,4.092e-13,0,0
3434,397.28,6.632e-13,6.632e-13,0,0
3435,397.33,1.041e-12,1.041e-12,0,0
3436,397.38,1.585e-12,1.585e-12,0,0
3437,397.43,2.3359999999999997e-12,2.3359999999999997e-12,0,0
3438,397.48,3.3379999999999997e-12,3.3379999999999997e-12,0,0
3439,397.53,4.62e-12,4.62e-12,0,0
3440,397.58,6.196000000000001e-12,6.196000000000001e-12,0,0
3441,397.63,8.051e-12,8.051e-12,0,0
3442,397.68,1.0140000000000002e-11,1.0140000000000002e-11,0,0
