Wavelength,Sum

220.49	,1312
220.54	,1593
220.59	,1171
220.64	,1123
220.7	,1259
220.75	,1329
220.8	,1256
220.86	,1224
220.91	,1391
220.96	,1346
221.01	,1202
221.07	,1245
221.12	,1596
221.17	,1210
221.22	,1173
221.28	,1312
221.33	,1270
221.38	,1363
221.44	,1361
221.49	,1031
221.54	,1080
221.59	,1040
221.65	,1227
221.7	,1087
221.75	,1085
221.81	,901
221.86	,1238
221.91	,1060
221.96	,1235
222.02	,925
222.07	,1026
222.12	,1256
222.17	,1346
222.23	,1192
222.28	,1258
222.33	,1442
222.39	,1364
222.44	,1090
222.49	,1432
222.54	,1292
222.6	,1185
222.65	,1123
222.7	,1071
222.75	,1247
222.81	,1244
222.86	,1409
222.91	,1237
222.97	,872
223.02	,1277
223.07	,1339
223.12	,994
223.18	,1005
223.23	,1042
223.28	,1141
223.33	,1347
223.39	,1032
223.44	,1062
223.49	,1086
223.55	,1204
223.6	,1058
223.65	,1302
223.7	,1102
223.76	,1131
223.81	,1049
223.86	,1283
223.91	,1052
223.97	,1151
224.02	,1108
224.07	,1030
224.12	,1198
224.18	,1304
224.23	,1316
224.28	,1526
224.34	,1146
224.39	,1165
224.44	,1365
224.49	,1242
224.55	,1000
224.6	,1171
224.65	,1219
224.7	,1204
224.76	,1074
224.81	,1344
224.86	,1172
224.91	,1341
224.97	,893
225.02	,1145
225.07	,1333
225.12	,1114
225.18	,1585
225.23	,1070
225.28	,1259
225.34	,1392
225.39	,1020
225.44	,1064
225.49	,1208
225.55	,1021
225.6	,1445
225.65	,1028
225.7	,1259
225.76	,1250
225.81	,1139
225.86	,1184
225.91	,1211
225.97	,1019
226.02	,1210
226.07	,1335
226.12	,1139
226.18	,1537
226.23	,1174
226.28	,1379
226.33	,1154
226.39	,1335
226.44	,1955
226.49	,1445
226.54	,1076
226.6	,1503
226.65	,1190
226.7	,1233
226.75	,1395
226.81	,1512
226.86	,1256
226.91	,1467
226.96	,1585
227.02	,1659
227.07	,1723
227.12	,1484
227.17	,1212
227.23	1256
227.28,	994
227.33,	1107
227.38,	975
227.44	,1332
227.49	,1317
227.54	,1225
227.59	,1166
227.65	,1223
227.7	,973
227.75	,1304
227.8	,1205
227.86	,1137
227.91	,970
227.96	,902
228.01	,1107
228.07	,1208
228.12	1295
228.17,	1251
228.22,	1042
228.28,	1441
228.33,	1097
228.38,	1139
228.43,	1088
228.49,	1063
228.54,	1097
228.59,	1394
228.64,	1116
228.7	,1202
228.75	,1096
228.8	,1462
228.85	,1094
228.91	,1270
228.96	956
229.01,	1112
229.06,	1032
229.11,	1459
229.17,	1092
229.22,	1178
229.27,	999
229.32,	1036
229.38,	1176
229.43,	1294
229.48,	1032
229.53,	1325
229.59,	1243
229.64,	1086
229.69,	1324
229.74,	1258
229.8	,1105
229.85	,1059
229.9	,1224
229.95	,1182
230.01	,966
230.06	,1550
230.11	,1088
230.16	,1166
230.21	,1144
230.27	,1491
230.32	,1062
230.37	,1146
230.42	,1258
230.48	,972
230.53	,1248
230.58	,849
230.63	,1390
230.69	,1337
230.74	,1315
230.79	,1182
230.84	,1011
230.89	,1401
230.95	,1113
231,	1063
231.05	,1116
231.1	,1355
231.16	,1243
231.21	,1294
231.26	,1348
231.31	,1332
231.37	,1388
231.42	,1511
231.47	,1478
231.52	,1494
231.57	,1271
231.63	,1218
231.68	,1628
231.73	,1763
231.78	,1008
231.84	,1237
231.89	,1140
231.94	,1656
231.99	,1164
232.05	,1694
232.1	,925
232.15	,940
232.2	,1195
232.25	,1270
232.31	,1446
232.36	,1306
232.41	,1125
232.46	,1239
232.52	,1492
232.57	,1571
232.62	,1256
232.67	,1234
232.72	,1202
232.78	,1264
232.83	,1068
232.88	,1240
232.93	,1256
232.98	,1561
233.04	,1221
233.09	,1128
233.14	,1039
233.19	,1382
233.25	,1267
233.3	,1060
233.35	,1071
233.4	,1247
233.45	,1124
233.51	,1233
233.56	,1021
233.61	,1125
233.66	,1156
233.72	,982
233.77	,1353
233.82	,1206
233.87	,1535
233.92	,1292
233.98	,1088
234.03	,1338
234.08	,1182
234.13	,1257
234.18	,1159
234.24	,1208
234.29	,996
234.34	,1023
234.39	,1145
234.45	,1387
234.5	,1135
234.55	,1516
234.6	,1210
234.65	,1294
234.71	,1144
234.76	,1109
234.81	,1479
234.86	,1355
234.91	,1226
234.97	,1258
235.02	,1047
235.07	,1433
235.12	,1120
235.17	,1005
235.23	,1268
235.28	,1181
235.33	,1219
235.38	,1618
235.44	,1147
235.49	,1512
235.54	,1171
235.59	,1211
235.64	,998
235.7	,1005
235.75	,931
235.8	,1333
235.85	,1046
235.9	,1263
235.96	,1327
236.01	,1435
236.06	,1565
236.11	,1213
236.16	,1354
236.22	,1187
236.27	,1164
236.32	,1582
236.37	,1139
236.42	,1525
236.48	,1300
236.53	,1478
236.58	,1432
236.63	,1519
236.68	,1687
236.74	,1720
236.79	,2028
236.84	,1966
236.89	,1878
236.94	,2023
237	,1901
237.05	,1644
237.1	,1768
237.15	,1601
237.2	,1764
237.26	,1666
237.31	,2311
237.36	,2270
237.41	,2571
237.46	,2716
237.52	,2114
237.57	,1857
237.62	,1452
237.67	,1529
237.72	,1495
237.78	,1363
237.83	,1283
237.88	,1648
237.93	,1141
237.98	,1725
238.03	,1204
238.09	,1243
238.14	,1325
238.19	,1426
238.24	,1333
238.29	,1200
238.35	,1830
238.4	,1174
238.45	,1364
238.5	,1210
238.55	,995
238.61	,1375
238.66	,1302
238.71	,1198
238.76	,1070
238.81	,1339
238.87	,1280
238.92	,1367
238.97	,1272
239.02	,1199
239.07	,1036
239.12	,1562
239.18	,978
239.23	,1338
239.28	,1262
239.33	,1318
239.38	,1044
239.44	,1121
239.49	,1182
239.54	,1363
239.59	,1698
239.64	,1388
239.7	,1239
239.75	,1199
239.8	,1526
239.85	,1137
239.9	,1063
239.95	,1229
240.01	,1136
240.06	,1257
240.11	,973
240.16	,1035
240.21	,1001
240.27	,1018
240.32	,1263
240.37	,1038
240.42	,1194
240.47	,1084
240.52	,1336
240.58	,1111
240.63	,1334
240.68	,1227
240.73	,1261
240.78	,1050
240.83	,1270
240.89	,1209
240.94	,952
240.99	,1094
241.04	,1322
241.09	,971
241.15	,919
241.2	,1122
241.25	,1118
241.3	,1235
241.35	,1098
241.4	,1175
241.46	,958
241.51	,1419
241.56	,1410
241.61	,1211
241.66	,1632
241.71	,1125
241.77	,1028
241.82	,1319
241.87	,1416
241.92	,984
241.97	,923
242.02	,1144
242.08	,1044
242.13	,1348
242.18	,1221
242.23	,1123
242.28	,1195
242.34	,1008
242.39	,1051
242.44	,1200
242.49	,1162
242.54	,1273
242.59	,1091
242.65	,1197
242.7	,1087
242.75	,1137
242.8	,1237
242.85	,1175
242.9	,1089
242.96	,1067
243.01	,1243
243.06	,1280
243.11	,1334
243.16	,1172
243.21	,1438
243.27	,1075
243.32	,1063
243.37	,1199
243.42	,1333
243.47	,941
243.52	,1154
243.57	,1147
243.63	,992
243.68	,1258
243.73	,1117
243.78	,1175
243.83	,1084
243.88	,1154
243.94	,1114
243.99	,1208
244.04	,1114
244.09	,1282
244.14	,1222
244.19	,1133
244.25	,1267
244.3	,1271
244.35	,1120
244.4	,1181
244.45	,1301
244.5	,1197
244.56	,1468
244.61	,1234
244.66	,1455
244.71	,1218
244.76	,1399
244.81	,1112
244.86	,1252
244.92	,1195
244.97	,1108
245.02	,1443
245.07	,1087
