,Wavelength,Sum,Mean Intensity
227,212.45,17.6,0.2
228,212.50,17.6,0.3
229,212.56,17.9,0.2
230,212.61,17.8,0.2
231,212.66,17.6,0.2
232,212.72,17.5,0.2
233,212.77,17.3,0.3
234,212.83,17.7,0.3
235,212.88,17.9,0.3
236,212.93,17.5,0.2
237,212.99,17.6,0.2
238,213.04,18.4,0.2
239,213.10,18.6,0.3
240,213.15,18.6,0.2
241,213.20,18.4,0.2
242,213.26,18.1,0.2
243,213.31,18.3,0.2
244,213.36,18.7,0.2
245,213.42,18.9,0.2
246,213.47,19.3,0.2
247,213.53,19.1,0.3
248,213.58,18.9,0.3
249,213.63,19.0,0.3
250,213.69,18.7,0.2
251,213.74,19.4,0.3
252,213.80,20.3,0.3
253,213.85,20.5,0.3
254,213.90,19.3,0.3
255,213.96,18.8,0.2
256,214.01,18.5,0.3
257,214.07,18.3,0.2
258,214.12,18.3,0.3
259,214.17,18.3,0.2
260,214.23,18.2,0.2
261,214.28,18.3,0.3
262,214.34,18.5,0.3
263,214.39,18.8,0.2
264,214.44,18.5,0.2
265,214.50,17.9,0.2
266,214.55,18.3,0.2
267,214.60,18.1,0.3
268,214.66,18.4,0.3
269,214.71,17.8,0.2
270,214.77,18.0,0.2
271,214.82,18.5,0.2
272,214.87,18.4,0.2
273,214.93,18.0,0.3
274,214.98,18.5,0.2
275,215.03,18.3,0.2
276,215.09,18.4,0.3
277,215.14,18.5,0.2
278,215.20,19.2,0.3
279,215.25,19.9,0.3
280,215.30,20.2,0.3
281,215.36,22.2,0.3
282,215.41,24.8,0.4
283,215.47,28.5,0.4
284,215.52,28.5,0.5
285,215.57,26.6,0.4
286,215.63,25.2,0.4
287,215.68,24.4,0.3
288,215.73,25.1,0.4
289,215.79,28.2,0.4
290,215.84,33.5,0.6
291,215.90,35.0,0.6
292,215.95,33.0,0.6
293,216.00,28.6,0.5
294,216.06,25.3,0.3
295,216.11,24.5,0.4
296,216.16,25.1,0.3
297,216.22,26.3,0.4
298,216.27,26.9,0.4
299,216.33,25.3,0.3
300,216.38,22.2,0.3
301,216.43,21.0,0.3
302,216.49,21.3,0.3
303,216.54,21.2,0.3
304,216.59,20.8,0.3
305,216.65,21.6,0.3
306,216.70,21.0,0.3
307,216.75,20.9,0.3
308,216.81,20.5,0.3
309,216.86,20.9,0.3
310,216.92,20.7,0.3
311,216.97,20.6,0.3
312,217.02,20.5,0.3
313,217.08,20.4,0.3
314,217.13,20.7,0.3
315,217.18,20.7,0.3
316,217.24,20.9,0.3
317,217.29,21.2,0.3
318,217.34,21.6,0.3
319,217.40,21.3,0.3
320,217.45,21.2,0.2
321,217.51,21.0,0.3
322,217.56,21.6,0.3
323,217.61,21.6,0.3
324,217.67,21.4,0.3
325,217.72,22.7,0.3
326,217.77,23.4,0.3
327,217.83,23.4,0.3
328,217.88,23.1,0.3
329,217.93,22.6,0.4
330,217.99,22.5,0.3
331,218.04,22.5,0.3
332,218.10,22.7,0.3
333,218.15,21.9,0.3
334,218.20,21.5,0.3
335,218.26,22.9,0.2
336,218.31,22.1,0.3
337,218.36,21.9,0.3
338,218.42,23.2,0.3
339,218.47,23.1,0.3
340,218.52,23.9,0.4
341,218.58,25.7,0.4
342,218.63,28.0,0.4
343,218.68,30.2,0.5
344,218.74,31.1,0.5
345,218.79,30.3,0.5
346,218.85,28.6,0.4
347,218.90,27.2,0.4
348,218.95,27.9,0.4
349,219.01,29.2,0.5
350,219.06,27.5,0.4
351,219.11,25.2,0.4
352,219.17,23.6,0.3
353,219.22,22.4,0.3
354,219.27,22.3,0.3
355,219.33,22.0,0.3
356,219.38,21.7,0.3
357,219.43,21.1,0.3
358,219.49,20.8,0.3
359,219.54,21.2,0.3
360,219.59,21.7,0.3
361,219.65,22.0,0.3
362,219.70,21.8,0.3
363,219.75,21.5,0.3
364,219.81,21.9,0.3
365,219.86,23.3,0.3
366,219.91,24.3,0.3
367,219.97,24.0,0.4
368,220.02,23.5,0.4
369,220.07,23.5,0.4
370,220.13,23.9,0.4
371,220.18,23.8,0.3
372,220.24,22.5,0.3
373,220.29,22.7,0.3
374,220.34,22.3,0.3
375,220.40,22.4,0.3
376,220.45,22.5,0.3
377,220.50,22.6,0.3
378,220.56,21.8,0.3
379,220.61,22.1,0.3
380,220.66,21.9,0.3
381,220.72,20.9,0.3
382,220.77,21.2,0.3
383,220.82,21.2,0.3
384,220.88,21.0,0.3
385,220.93,22.1,0.3
386,220.98,22.1,0.3
387,221.04,22.0,0.3
388,221.09,21.7,0.3
389,221.14,22.3,0.3
390,221.20,22.1,0.3
391,221.25,21.8,0.3
392,221.30,21.2,0.3
393,221.36,20.8,0.3
394,221.41,20.9,0.3
395,221.46,20.6,0.3
396,221.52,21.3,0.2
397,221.57,21.2,0.3
398,221.62,21.4,0.3
399,221.68,21.0,0.3
400,221.73,21.1,0.3
401,221.78,20.8,0.3
402,221.84,20.5,0.3
403,221.89,20.5,0.3
404,221.94,20.8,0.3
405,222.00,21.3,0.3
406,222.05,21.6,0.3
407,222.10,21.6,0.3
408,222.16,21.6,0.3
409,222.21,21.8,0.3
410,222.26,21.8,0.3
411,222.32,22.0,0.3
412,222.37,22.1,0.3
