,Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
3952,481.76,4.7,0,4.7
3953,481.81,3.7969999999999997,0,3.7969999999999997
3954,481.86,3.002,0,3.002
3955,481.91,2.324,0,2.324
3956,481.96,1.7630000000000001,0,1.7630000000000001
3957,482.01,1.3130000000000002,0,1.3130000000000002
3958,482.06,0.9634,0,0.9634
3959,482.11,0.702,0,0.702
3960,482.16,0.5168,0,0.5168
3961,482.21,0.3969,0,0.3969
3962,482.26,0.3337,0,0.3337
3963,482.31,0.3213,0,0.3213
3964,482.36,0.3568,0,0.3568
3965,482.41,0.4399,0,0.4399
3966,482.46,0.5729,0,0.5729
3967,482.51,0.7592,0,0.7592
3968,482.56,1.003,0,1.003
3969,482.61,1.308,0,1.308
3970,482.66,1.676,0,1.676
3971,482.71,2.104,0,2.104
3972,482.76,2.589,0,2.589
3973,482.81,3.1180000000000003,0,3.1180000000000003
3974,482.86,3.677,0,3.677
3975,482.91,4.244,0,4.244
3976,482.96,4.795,0,4.795
3977,483.01,5.3020000000000005,0,5.3020000000000005
3978,483.06,5.739,0,5.739
3979,483.11,6.081,0,6.081
3980,483.16,6.306,0,6.306
3981,483.21,6.402,0,6.402
3982,483.26,6.361000000000001,0,6.361000000000001
3983,483.31,6.186,0,6.186
3984,483.36,5.888999999999999,0,5.888999999999999
3985,483.41,5.487,0,5.487
3986,483.46,5.004,0,5.004
3987,483.51,4.468,0,4.468
3988,483.56,3.904,0,3.904
3989,483.61,3.339,0,3.339
3990,483.66,2.7960000000000003,0,2.7960000000000003
3991,483.71,2.292,0,2.292
3992,483.76,1.839,0,1.839
3993,483.81,1.446,0,1.446
3994,483.86,1.115,0,1.115
3995,483.91,0.8446,0,0.8446
3996,483.96,0.6321,0,0.6321
3997,484.01,0.4722,0,0.4722
3998,484.06,0.3598,0,0.3598
3999,484.11,0.2903,0,0.2903
4000,484.16,0.2605,0,0.2605
4001,484.21,0.2692,0,0.2692
4002,484.26,0.3171,0,0.3171
4003,484.31,0.4076,0,0.4076
4004,484.36,0.5457,0,0.5457
4005,484.41,0.7387,0,0.7387
4006,484.46,0.9945,0,0.9945
4007,484.51,1.3219999999999998,0,1.3219999999999998
4008,484.56,1.729,0,1.729
4009,484.61,2.2230000000000003,0,2.2230000000000003
4010,484.66,2.8080000000000003,0,2.8080000000000003
4011,484.71,3.484,0,3.484
4012,484.76,4.248,0,4.248
4013,484.81,5.092,0,5.092
4014,484.86,6.002000000000001,0,6.002000000000001
4015,484.91,6.957999999999999,0,6.957999999999999
4016,484.96,7.938,0,7.938
4017,485.01,8.915,0,8.915
4018,485.06,9.857000000000001,0,9.857000000000001
4019,485.11,10.73,0,10.73
4020,485.16,11.51,0,11.51
4021,485.21,12.16,0,12.16
