Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
564.18,2.818e-12,,2.818e-12,
564.23,1.132e-12,,1.132e-12,
564.28,4.472e-13,,4.472e-13,
564.33,1.740e-13,,1.740e-13,
564.38,6.661e-14,,6.661e-14,
564.43,2.510e-14,,2.510e-14,
564.48,9.310e-15,,9.310e-15,
564.53,3.399e-15,,3.399e-15,
564.58,1.221e-15,,1.221e-15,
564.63,4.320e-16,,4.320e-16,
564.68,1.504e-16,,1.504e-16,
566.23,4.009e-19,,,4.009e-19
566.28,1.145e-18,,,1.145e-18
566.33,3.219e-18,,,3.219e-18
566.38,8.913e-18,,,8.913e-18
566.43,2.430e-17,,,2.430e-17
566.48,6.525e-17,,,6.525e-17
566.53,1.725e-16,,,1.725e-16
566.58,4.491e-16,,,4.491e-16
566.63,1.151e-15,,,1.151e-15
566.68,2.906e-15,,,2.906e-15
566.73,7.225e-15,,,7.225e-15
566.78,1.768e-14,,,1.768e-14
566.83,4.263e-14,,,4.263e-14
566.88,1.012e-13,,,1.012e-13
566.93,2.365e-13,,,2.365e-13
566.98,5.442e-13,,,5.442e-13
567.03,1.233e-12,,,1.233e-12
567.08,2.752e-12,,,2.752e-12
567.13,6.049e-12,,,6.049e-12
567.18,1.309e-11,,,1.309e-11
567.23,2.789e-11,,,2.789e-11
567.28,5.852e-11,,,5.852e-11
567.33,1.209e-10,,,1.209e-10
567.38,2.460e-10,,,2.460e-10
567.43,4.929e-10,,,4.929e-10
567.48,9.724e-10,,,9.724e-10
567.53,1.889e-9,,,1.889e-9
567.58,3.614e-9,,,3.614e-9
567.63,6.807e-9,,,6.807e-9
567.68,1.263e-8,,,1.263e-8
567.73,2.306e-8,,,2.306e-8
567.78,4.148e-8,,,4.148e-8
567.83,7.348e-8,,,7.348e-8
567.88,1.281e-7,,,1.281e-7
567.93,2.201e-7,,,2.201e-7
567.98,3.722e-7,,,3.722e-7
568.03,6.198e-7,,,6.198e-7
568.08,1.016e-6,,,1.016e-6
568.13,1.641e-6,,,1.641e-6
568.18,2.610e-6,,,2.610e-6
568.23,4.086e-6,,,4.086e-6
568.28,6.300e-6,,,6.300e-6
568.33,9.564e-6,,,9.564e-6
568.38,1.430e-5,,,1.430e-5
568.43,2.105e-5,,,2.105e-5
