Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
280.04,9.802e-11,,9.802e-11,
280.09,6.963e-10,,6.963e-10,
280.14,4.645e-9,,4.645e-9,
280.19,2.909e-8,,2.909e-8,
280.24,1.710e-7,,1.710e-7,
280.29,9.442e-7,,9.442e-7,
280.34,4.894e-6,,4.894e-6,
280.39,2.382e-5,,2.382e-5,
280.44,1.088e-4,,1.088e-4,
280.49,4.669e-4,,4.669e-4,
280.54,1.881e-3,,1.881e-3,
280.59,7.113e-3,,7.113e-3,
280.64,2.526e-2,,2.526e-2,
280.69,8.421e-2,,8.421e-2,
280.74,2.636e-1,,2.636e-1,
280.79,7.747e-1,,7.747e-1,
280.84,2.138e+0,,2.138e+0,
280.89,5.539e+0,,5.539e+0,
280.94,1.347e+1,,1.347e+1,
280.99,3.077e+1,,3.077e+1,
281.04,6.598e+1,,6.598e+1,
281.09,1.328e+2,,1.328e+2,
281.14,2.511e+2,,2.511e+2,
281.19,4.457e+2,,4.457e+2,
281.24,7.427e+2,,7.427e+2,
281.29,1.162e+3,,1.162e+3,
281.34,1.707e+3,,1.707e+3,
281.39,2.354e+3,,2.354e+3,
281.44,3.049e+3,,3.049e+3,
281.49,3.707e+3,,3.707e+3,3.206e-24
281.54,4.232e+3,,4.232e+3,2.525e-23
281.59,4.535e+3,,4.535e+3,1.869e-22
281.64,4.564e+3,,4.564e+3,1.299e-21
281.69,4.312e+3,,4.312e+3,8.490e-21
281.74,3.826e+3,,3.826e+3,5.211e-20
281.79,3.186e+3,,3.186e+3,3.005e-19
281.84,2.492e+3,,2.492e+3,1.629e-18
281.89,1.830e+3,,1.830e+3,8.291e-18
281.94,1.261e+3,,1.261e+3,3.966e-17
281.99,8.164e+2,,8.164e+2,1.782e-16
282.04,4.961e+2,,4.961e+2,7.526e-16
282.09,2.831e+2,,2.831e+2,2.986e-15
282.14,1.516e+2,,1.516e+2,1.113e-14
282.19,7.628e+1,,7.628e+1,3.899e-14
282.24,3.602e+1,,3.602e+1,1.283e-13
282.29,1.597e+1,,1.597e+1,3.967e-13
282.34,6.650e+0,,6.650e+0,1.153e-12
282.39,2.599e+0,,2.599e+0,3.148e-12
282.44,9.539e-1,,9.539e-1,8.077e-12
282.49,3.287e-1,,3.287e-1,1.948e-11
282.54,1.063e-1,,1.063e-1,4.417e-11
282.59,3.230e-2,,3.230e-2,9.417e-11
282.64,9.212e-3,,9.212e-3,1.888e-10
282.69,2.467e-3,,2.467e-3,3.564e-10
282.74,6.201e-4,,6.201e-4,6.334e-10
282.79,1.464e-4,,1.464e-4,1.061e-9
282.84,3.244e-5,,3.244e-5,1.678e-9
282.89,6.753e-6,,6.750e-6,2.510e-9
282.94,1.322e-6,,1.319e-6,3.561e-9
282.99,2.467e-7,,2.419e-7,4.806e-9
283.04,4.786e-8,,4.167e-8,6.196e-9
283.09,1.441e-8,,6.737e-9,7.669e-9
283.14,1.018e-8,,1.023e-9,9.156e-9
283.19,1.074e-8,,1.458e-10,1.059e-8
283.24,1.193e-8,,1.952e-11,1.191e-8
283.29,1.302e-8,,2.452e-12,1.302e-8
283.34,1.383e-8,,,1.383e-8
283.39,1.422e-8,,,1.422e-8
283.44,1.410e-8,,,1.410e-8
283.49,1.340e-8,,,1.340e-8
283.54,1.216e-8,,,1.216e-8
283.59,1.049e-8,,,1.049e-8
283.64,8.582e-9,,,8.582e-9
283.69,6.636e-9,,,6.636e-9
283.74,4.843e-9,,,4.843e-9
283.79,3.332e-9,,,3.332e-9
283.84,2.158e-9,,,2.158e-9
283.89,1.316e-9,,,1.316e-9
283.94,7.545e-10,,,7.545e-10
283.99,4.068e-10,,,4.068e-10
284.04,2.063e-10,,,2.063e-10
284.09,9.828e-11,,,9.828e-11
284.14,4.402e-11,,,4.402e-11
284.19,1.853e-11,,,1.853e-11
284.24,7.330e-12,,,7.330e-12
284.29,2.725e-12,,,2.725e-12
284.34,9.519e-13,,,9.519e-13
284.39,3.125e-13,,,3.125e-13
284.44,9.639e-14,,,9.639e-14
284.49,2.794e-14,,,2.794e-14
284.54,7.611e-15,,,7.611e-15
284.59,1.948e-15,,,1.948e-15
284.64,4.685e-16,,,4.685e-16
284.69,1.059e-16,,,1.059e-16
284.74,2.249e-17,,,2.249e-17
284.79,4.488e-18,,,4.488e-18
284.84,8.416e-19,,,8.416e-19
284.89,1.483e-19,,,1.483e-19
284.94,2.456e-20,,,2.456e-20
284.99,3.821e-21,,,3.821e-21
285.04,5.586e-22,,,5.586e-22
285.09,7.674e-23,,,7.674e-23
285.14,9.907e-24,,,9.907e-24
285.19,1.202e-24,,,1.202e-24
285.94,2.992e-24,,,2.992e-24
285.99,2.376e-23,,,2.376e-23
286.04,1.793e-22,,,1.793e-22
286.09,1.264e-21,,,1.264e-21
286.14,8.383e-21,,,8.383e-21
286.19,5.237e-20,,,5.237e-20
286.24,3.080e-19,,,3.080e-19
286.29,1.706e-18,,,1.706e-18
286.34,8.894e-18,,,8.894e-18
286.39,4.367e-17,,,4.367e-17
286.44,2.019e-16,,,2.019e-16
286.49,8.791e-16,,,8.791e-16
286.54,3.605e-15,,,3.605e-15
286.59,1.392e-14,,,1.392e-14
286.64,5.062e-14,,,5.062e-14
286.69,1.734e-13,,,1.734e-13
286.74,5.594e-13,,,5.594e-13
286.79,1.700e-12,,,1.700e-12
286.84,4.867e-12,,,4.867e-12
286.89,1.313e-11,,,1.313e-11
286.94,3.337e-11,,,3.337e-11
286.99,7.992e-11,,,7.992e-11
287.04,1.804e-10,,,1.804e-10
287.09,3.837e-10,,,3.837e-10
287.14,7.694e-10,,,7.694e-10
287.19,1.454e-9,,,1.454e-9
287.24,2.593e-9,,,2.593e-9
287.29,4.358e-9,,,4.358e-9
287.34,6.910e-9,,,6.910e-9
287.39,1.033e-8,,,1.033e-8
287.44,1.458e-8,,,1.458e-8
287.49,1.942e-8,,,1.942e-8
287.54,2.440e-8,,,2.440e-8
287.59,2.895e-8,,,2.895e-8
287.64,3.243e-8,,,3.243e-8
287.69,3.430e-8,,,3.430e-8
287.74,3.426e-8,,,3.426e-8
287.79,3.233e-8,,,3.233e-8
287.84,2.881e-8,,,2.881e-8
287.89,2.426e-8,,,2.426e-8
287.94,1.930e-8,,,1.930e-8
287.99,1.451e-8,,,1.451e-8
288.04,1.030e-8,,,1.030e-8
288.09,6.912e-9,,,6.912e-9
288.14,4.382e-9,,,4.382e-9
288.19,2.625e-9,,,2.625e-9
288.24,1.485e-9,,,1.485e-9
288.29,7.935e-10,,,7.935e-10
288.34,4.005e-10,,,4.005e-10
288.39,1.909e-10,,,1.909e-10
288.44,8.589e-11,,,8.589e-11
288.49,3.649e-11,,,3.649e-11
288.54,1.463e-11,,,1.463e-11
288.59,5.535e-12,,,5.535e-12
288.64,1.976e-12,,,1.976e-12
288.69,6.655e-13,,,6.655e-13
288.74,2.114e-13,,,2.114e-13
288.79,6.333e-14,,,6.333e-14
288.84,1.789e-14,,,1.789e-14
288.89,4.765e-15,,,4.765e-15
288.94,1.196e-15,,,1.196e-15
288.99,2.831e-16,,,2.831e-16
289.04,6.313e-17,,,6.313e-17
289.09,1.327e-17,,,1.327e-17
289.14,2.627e-18,,,2.627e-18
289.19,4.902e-19,,,4.902e-19
289.24,8.616e-20,,,8.616e-20
289.29,1.427e-20,,,1.427e-20
289.34,2.225e-21,,,2.225e-21
289.39,3.269e-22,,,3.269e-22
289.44,4.394e-23,,,4.394e-23
289.49,5.744e-24,,,5.744e-24
294.3,2.304e-23,,,2.304e-23
294.35,1.754e-22,,,1.754e-22
294.4,1.261e-21,,,1.261e-21
294.45,8.569e-21,,,8.569e-21
294.5,5.498e-20,,,5.498e-20
294.55,3.332e-19,,,3.332e-19
294.6,1.908e-18,,,1.908e-18
294.65,1.032e-17,,,1.032e-17
294.7,5.271e-17,,,5.271e-17
294.75,2.543e-16,,,2.543e-16
294.8,1.159e-15,,,1.159e-15
294.85,4.991e-15,,,4.991e-15
294.9,2.030e-14,,,2.030e-14
294.95,7.799e-14,,,7.799e-14
295,2.830e-13,,,2.830e-13
295.05,9.701e-13,,,9.701e-13
295.1,3.141e-12,,,3.141e-12
295.15,9.607e-12,,,9.607e-12
295.2,2.776e-11,,,2.776e-11
295.25,7.575e-11,,,7.575e-11
295.3,1.953e-10,,,1.953e-10
295.35,4.755e-10,,,4.755e-10
295.4,1.094e-9,,,1.094e-9
295.45,2.376e-9,,,2.376e-9
295.5,4.876e-9,,,4.876e-9
295.55,9.453e-9,,,9.453e-9
295.6,1.731e-8,,,1.731e-8
295.65,2.994e-8,,,2.994e-8
295.7,4.892e-8,,,4.892e-8
295.75,7.551e-8,,,7.551e-8
295.8,1.101e-7,,,1.101e-7
295.85,1.516e-7,,,1.516e-7
295.9,1.972e-7,,,1.972e-7
295.95,2.423e-7,,,2.423e-7
296,2.812e-7,,,2.812e-7
296.05,3.083e-7,,,3.083e-7
296.1,3.193e-7,,,3.193e-7
296.15,3.124e-7,,,3.124e-7
296.2,2.887e-7,,,2.887e-7
296.25,2.520e-7,,,2.520e-7
296.3,2.077e-7,,,2.077e-7
296.35,1.618e-7,,,1.618e-7
296.4,1.190e-7,,,1.190e-7
296.45,8.272e-8,,,8.272e-8
296.5,5.430e-8,,,5.430e-8
296.55,3.367e-8,,,3.367e-8
296.6,1.972e-8,,,1.972e-8
296.65,1.091e-8,,,1.091e-8
296.7,5.701e-9,,,5.701e-9
296.75,2.814e-9,,,2.814e-9
296.8,1.312e-9,,,1.312e-9
296.85,5.780e-10,,,5.780e-10
296.9,2.405e-10,,,2.405e-10
296.95,9.452e-11,,,9.452e-11
297,3.509e-11,,,3.509e-11
297.05,1.230e-11,,,1.230e-11
297.1,4.076e-12,,,4.076e-12
297.15,1.275e-12,,,1.275e-12
297.2,3.769e-13,,,3.769e-13
297.25,1.052e-13,,,1.052e-13
297.3,2.775e-14,,,2.775e-14
297.35,6.912e-15,,,6.912e-15
297.4,1.626e-15,,,1.626e-15
297.45,3.615e-16,,,3.615e-16
297.5,7.590e-17,,,7.590e-17
297.55,1.505e-17,,,1.505e-17
297.6,2.820e-18,,,2.820e-18
297.65,3.009e-16,,3.004e-16,4.989e-19
297.7,2.128e-15,,2.127e-15,8.339e-20
297.75,1.467e-14,,1.467e-14,1.317e-20
297.8,9.326e-14,,9.326e-14,1.964e-21
297.85,5.612e-13,,5.612e-13,2.766e-22
297.9,3.196e-12,,3.196e-12,3.681e-23
297.95,1.723e-11,,1.723e-11,
298,8.788e-11,,8.788e-11,
298.05,4.244e-10,,4.244e-10,
298.1,1.940e-9,,1.940e-9,
298.15,8.399e-9,,8.399e-9,
298.2,3.443e-8,,3.443e-8,
298.25,1.337e-7,,1.337e-7,
298.3,4.915e-7,,4.915e-7,
298.35,1.712e-6,,1.712e-6,
298.4,5.654e-6,,5.654e-6,
298.45,1.769e-5,,1.769e-5,
298.5,5.249e-5,,5.249e-5,
298.55,1.476e-4,,1.476e-4,
298.6,3.939e-4,,3.939e-4,
298.65,9.972e-4,,9.972e-4,
298.7,2.395e-3,,2.395e-3,
298.75,5.462e-3,,5.462e-3,
298.8,1.183e-2,,1.183e-2,
298.85,2.432e-2,,2.432e-2,
298.9,4.753e-2,,4.753e-2,
298.95,8.831e-2,,8.831e-2,
299,1.560e-1,,1.560e-1,
299.05,2.624e-1,,2.624e-1,
299.1,4.201e-1,,4.201e-1,
299.15,6.412e-1,,6.412e-1,
299.2,9.340e-1,,9.340e-1,
299.25,1.300e+0,,1.300e+0,
299.3,1.733e+0,,1.733e+0,
299.35,2.217e+0,,2.217e+0,
299.4,2.727e+0,,2.727e+0,
299.45,3.235e+0,,3.235e+0,
299.5,3.712e+0,,3.712e+0,
299.55,4.129e+0,,4.129e+0,
299.6,4.457e+0,,4.457e+0,
299.65,4.674e+0,,4.674e+0,
299.7,4.756e+0,,4.756e+0,
299.75,4.691e+0,,4.691e+0,
299.8,4.471e+0,,4.471e+0,
299.85,4.106e+0,,4.106e+0,
299.9,3.623e+0,,3.623e+0,
299.95,3.063e+0,,3.063e+0,
300,2.473e+0,,2.473e+0,
300.05,1.904e+0,,1.904e+0,
300.1,1.395e+0,,1.395e+0,
300.15,9.709e-1,,9.709e-1,
300.2,6.415e-1,,6.415e-1,
300.25,4.020e-1,,4.020e-1,
300.3,2.387e-1,,2.387e-1,
300.35,1.343e-1,,1.343e-1,
300.4,7.155e-2,,7.155e-2,
300.45,3.608e-2,,3.608e-2,
300.5,1.722e-2,,1.722e-2,
300.55,7.780e-3,,7.780e-3,
300.6,3.325e-3,,3.325e-3,
300.65,1.345e-3,,1.345e-3,
300.7,5.145e-4,,5.145e-4,
300.75,1.862e-4,,1.862e-4,
300.8,6.377e-5,,6.377e-5,
300.85,2.066e-5,,2.066e-5,
300.9,6.330e-6,,6.330e-6,
300.95,1.837e-6,,1.837e-6,
301,5.110e-7,,5.110e-7,
301.05,1.622e-7,,1.622e-7,
301.1,1.518e-7,,1.518e-7,
301.15,4.368e-7,,4.368e-7,
301.2,1.461e-6,,1.461e-6,
301.25,4.702e-6,,4.702e-6,
301.3,1.438e-5,,1.438e-5,
301.35,4.173e-5,,4.173e-5,
301.4,1.149e-4,,1.149e-4,
301.45,3.006e-4,,3.006e-4,
301.5,7.467e-4,,7.467e-4,
301.55,1.762e-3,,1.762e-3,
301.6,3.953e-3,,3.953e-3,
301.65,8.428e-3,,8.428e-3,
301.7,1.709e-2,,1.709e-2,
301.75,3.298e-2,,3.298e-2,
301.8,6.058e-2,,6.058e-2,
301.85,1.060e-1,,1.060e-1,
301.9,1.766e-1,,1.766e-1,
301.95,2.807e-1,,2.807e-1,
302,4.259e-1,,4.259e-1,
302.05,6.174e-1,,6.174e-1,
302.1,8.563e-1,,8.563e-1,
302.15,1.138e+0,,1.138e+0,
302.2,1.453e+0,,1.453e+0,
302.25,1.787e+0,,1.787e+0,
302.3,2.121e+0,,2.121e+0,
302.35,2.438e+0,,2.438e+0,
302.4,2.719e+0,,2.719e+0,
302.45,2.948e+0,,2.948e+0,
302.5,3.111e+0,,3.111e+0,
302.55,3.193e+0,,3.193e+0,
302.6,3.183e+0,,3.183e+0,
302.65,3.074e+0,,3.074e+0,
302.7,2.867e+0,,2.867e+0,
302.75,2.574e+0,,2.574e+0,
302.8,2.219e+0,,2.219e+0,
302.85,1.830e+0,,1.830e+0,
302.9,1.441e+0,,1.441e+0,
302.95,1.082e+0,,1.082e+0,
303,7.728e-1,,7.728e-1,
303.05,5.245e-1,,5.245e-1,
303.1,3.381e-1,,3.381e-1,
303.15,2.068e-1,,2.068e-1,
303.2,1.199e-1,,1.199e-1,
303.25,6.593e-2,,6.593e-2,
303.3,3.435e-2,,3.435e-2,
303.35,1.696e-2,,1.696e-2,
303.4,7.931e-3,,7.931e-3,
303.45,3.513e-3,,3.513e-3,
303.5,1.474e-3,,1.474e-3,
303.55,5.858e-4,,5.858e-4,
303.6,2.204e-4,,2.204e-4,
303.65,7.855e-5,,7.855e-5,
303.7,2.651e-5,,2.651e-5,
303.75,8.470e-6,,8.470e-6,
303.8,2.563e-6,,2.563e-6,
303.85,7.344e-7,,7.344e-7,
303.9,1.993e-7,,1.993e-7,
303.95,5.119e-8,,5.119e-8,
304,1.245e-8,,1.245e-8,
304.05,2.869e-9,,2.869e-9,
304.1,6.257e-10,,6.257e-10,
304.15,1.292e-10,,1.292e-10,
304.2,2.527e-11,,2.527e-11,
304.25,4.680e-12,,4.680e-12,
304.3,8.205e-13,,8.205e-13,
304.35,1.362e-13,,1.362e-13,
304.4,2.142e-14,,2.142e-14,
304.45,3.188e-15,,3.188e-15,
304.5,4.494e-16,,4.494e-16,
305.6,1.829e-16,,1.829e-16,
305.65,1.288e-15,,1.288e-15,
305.7,8.597e-15,,8.597e-15,
305.75,5.445e-14,,5.445e-14,
305.8,3.271e-13,,3.271e-13,
305.85,1.864e-12,,1.864e-12,
305.9,1.007e-11,,1.007e-11,
305.95,5.162e-11,,5.162e-11,
306,2.510e-10,,2.510e-10,
306.05,1.157e-9,,1.157e-9,
306.1,5.062e-9,,5.062e-9,
306.15,2.100e-8,,2.100e-8,
306.2,8.263e-8,,8.263e-8,
306.25,3.084e-7,,3.084e-7,
306.3,1.092e-6,,1.092e-6,
306.35,3.665e-6,4.568e-12,3.665e-6,
306.4,1.167e-5,3.185e-11,1.167e-5,
306.45,3.525e-5,2.108e-10,3.525e-5,
306.5,1.010e-4,1.323e-9,1.010e-4,
306.55,2.744e-4,7.879e-9,2.744e-4,
306.6,7.072e-4,4.451e-8,7.071e-4,
306.65,1.729e-3,2.386e-7,1.729e-3,
306.7,4.009e-3,1.213e-6,4.008e-3,
306.75,8.820e-3,5.854e-6,8.814e-3,
306.8,1.841e-2,2.680e-5,1.838e-2,
306.85,3.649e-2,1.164e-4,3.637e-2,
306.9,6.873e-2,4.794e-4,6.825e-2,
306.95,1.233e-1,1.874e-3,1.215e-1,
307,2.120e-1,6.949e-3,2.050e-1,
307.05,3.528e-1,2.445e-2,3.283e-1,
307.1,5.802e-1,8.160e-2,4.986e-1,
307.15,9.766e-1,2.584e-1,7.182e-1,
307.2,1.758e+0,7.763e-1,9.812e-1,
307.25,3.484e+0,2.213e+0,1.271e+0,
307.3,7.546e+0,5.983e+0,1.563e+0,
307.35,1.717e+1,1.535e+1,1.822e+0,
307.4,3.938e+1,3.736e+1,2.014e+0,
307.45,8.838e+1,8.627e+1,2.113e+0,
307.5,1.911e+2,1.890e+2,2.101e+0,
307.55,3.948e+2,3.928e+2,1.983e+0,
307.6,7.764e+2,7.746e+2,1.774e+0,
307.65,1.451e+3,1.449e+3,1.506e+0,
307.7,2.573e+3,2.572e+3,1.212e+0,
307.75,4.331e+3,4.330e+3,9.257e-1,
307.8,6.919e+3,6.918e+3,6.705e-1,
307.85,1.049e+4,1.048e+4,4.606e-1,
307.9,1.508e+4,1.508e+4,3.003e-1,
307.95,2.057e+4,2.057e+4,1.860e-1,
308,2.662e+4,2.662e+4,1.101e-1,
308.05,3.268e+4,3.268e+4,6.375e-2,
308.1,3.807e+4,3.807e+4,3.935e-2,
308.15,4.207e+4,4.207e+4,3.195e-2,
308.2,4.412e+4,4.412e+4,4.005e-2,
308.25,4.389e+4,4.389e+4,6.596e-2,
308.3,4.142e+4,4.142e+4,1.158e-1,
308.35,3.709e+4,3.709e+4,1.988e-1,
308.4,3.153e+4,3.153e+4,3.263e-1,
308.45,2.546e+4,2.546e+4,5.092e-1,
308.5,1.959e+4,1.959e+4,7.543e-1,
308.55,1.448e+4,1.448e+4,1.061e+0,
308.6,1.051e+4,1.051e+4,1.415e+0,
308.65,7.943e+3,7.941e+3,1.791e+0,
308.7,6.933e+3,6.931e+3,2.152e+0,
308.75,7.635e+3,7.633e+3,2.453e+0,
308.8,1.024e+4,1.024e+4,2.654e+0,
308.85,1.495e+4,1.495e+4,2.724e+0,
308.9,2.193e+4,2.192e+4,2.654e+0,
308.95,3.115e+4,3.115e+4,2.453e+0,
309,4.229e+4,4.229e+4,2.152e+0,
309.05,5.463e+4,5.463e+4,1.791e+0,
309.1,6.702e+4,6.702e+4,1.415e+0,
309.15,7.806e+4,7.806e+4,1.061e+0,
309.2,8.629e+4,8.629e+4,7.543e-1,
309.25,9.053e+4,9.053e+4,5.091e-1,
309.3,9.015e+4,9.015e+4,3.261e-1,
309.35,8.520e+4,8.520e+4,1.982e-1,
309.4,7.642e+4,7.642e+4,1.143e-1,
309.45,6.505e+4,6.505e+4,6.255e-2,
309.5,5.256e+4,5.256e+4,3.249e-2,
309.55,4.030e+4,4.030e+4,1.601e-2,
309.6,2.933e+4,2.933e+4,7.487e-3,
309.65,2.026e+4,2.026e+4,3.322e-3,
309.7,1.328e+4,1.328e+4,1.399e-3,
309.75,8.261e+3,8.261e+3,5.591e-4,
309.8,4.878e+3,4.878e+3,2.120e-4,
309.85,2.733e+3,2.733e+3,7.628e-5,
309.9,1.454e+3,1.454e+3,2.605e-5,
309.95,7.338e+2,7.338e+2,8.440e-6,
310,3.515e+2,3.515e+2,2.595e-6,
310.05,1.598e+2,1.598e+2,7.571e-7,
310.1,6.897e+1,6.897e+1,2.096e-7,
310.15,2.825e+1,2.825e+1,5.507e-8,
310.2,1.098e+1,1.098e+1,1.373e-8,
310.25,4.050e+0,4.050e+0,3.248e-9,
310.3,1.418e+0,1.418e+0,7.293e-10,
310.35,4.712e-1,4.712e-1,1.554e-10,
310.4,1.486e-1,1.486e-1,3.141e-11,
310.45,4.448e-2,4.448e-2,6.025e-12,
310.5,1.263e-2,1.263e-2,1.097e-12,
310.55,3.406e-3,3.406e-3,1.895e-13,
310.6,8.715e-4,8.715e-4,3.106e-14,
310.65,2.116e-4,2.116e-4,4.831e-15,
310.7,4.878e-5,4.878e-5,7.131e-16,
310.75,1.067e-5,1.067e-5,,
310.8,2.215e-6,2.215e-6,,
310.85,4.365e-7,4.365e-7,,
310.9,8.162e-8,8.162e-8,,
310.95,1.449e-8,1.449e-8,,
311,2.440e-9,2.440e-9,,
311.05,3.900e-10,3.900e-10,,
311.1,5.918e-11,5.918e-11,,
311.15,8.522e-12,8.522e-12,,
316.1,1.398e-23,,,1.398e-23
316.15,9.016e-23,,,9.016e-23
316.2,5.534e-22,,,5.534e-22
316.25,3.233e-21,,,3.233e-21
316.3,1.797e-20,,,1.797e-20
316.35,9.512e-20,,,9.512e-20
316.4,4.791e-19,,,4.791e-19
316.45,2.296e-18,,,2.296e-18
316.5,1.048e-17,,,1.048e-17
316.55,4.550e-17,,,4.550e-17
316.6,1.880e-16,,,1.880e-16
316.65,7.396e-16,,,7.396e-16
316.7,2.769e-15,,,2.769e-15
316.75,9.866e-15,,,9.866e-15
316.8,3.346e-14,,,3.346e-14
316.85,1.080e-13,,,1.080e-13
316.9,3.318e-13,,,3.318e-13
316.95,9.701e-13,,,9.701e-13
317,2.700e-12,,,2.700e-12
317.05,7.152e-12,,,7.152e-12
317.1,1.803e-11,,,1.803e-11
317.15,4.327e-11,,,4.327e-11
317.2,9.885e-11,,,9.885e-11
317.25,2.150e-10,,,2.150e-10
317.3,4.450e-10,,,4.450e-10
317.35,8.772e-10,,,8.772e-10
317.4,1.647e-9,,,1.647e-9
317.45,2.944e-9,,,2.944e-9
317.5,5.016e-9,,,5.016e-9
317.55,8.147e-9,,,8.147e-9
317.6,1.262e-8,,,1.262e-8
317.65,1.868e-8,,,1.868e-8
317.7,2.643e-8,,,2.643e-8
317.75,3.582e-8,,,3.582e-8
317.8,4.662e-8,,,4.662e-8
317.85,5.846e-8,,,5.846e-8
317.9,7.088e-8,,,7.088e-8
317.95,8.349e-8,,,8.349e-8
318,9.596e-8,,,9.596e-8
318.05,1.081e-7,,,1.081e-7
318.1,1.196e-7,,,1.196e-7
318.15,1.303e-7,,,1.303e-7
318.2,1.395e-7,,,1.395e-7
318.25,1.463e-7,,,1.463e-7
318.3,1.499e-7,,,1.499e-7
318.35,1.491e-7,,,1.491e-7
318.4,1.435e-7,,,1.435e-7
318.45,1.330e-7,,,1.330e-7
318.5,1.184e-7,,,1.184e-7
318.55,1.010e-7,,,1.010e-7
318.6,8.244e-8,,,8.244e-8
318.65,6.424e-8,,,6.424e-8
318.7,4.776e-8,,,4.776e-8
318.75,3.386e-8,,,3.386e-8
318.8,2.287e-8,,,2.287e-8
318.85,1.472e-8,,,1.472e-8
318.9,9.020e-9,,,9.020e-9
318.95,5.264e-9,,,5.264e-9
319,2.925e-9,,,2.925e-9
319.05,1.547e-9,,,1.547e-9
319.1,7.793e-10,,,7.793e-10
319.15,3.736e-10,,,3.736e-10
319.2,1.705e-10,,,1.705e-10
319.25,7.408e-11,,,7.408e-11
319.3,3.064e-11,,,3.064e-11
319.35,1.206e-11,,,1.206e-11
319.4,4.519e-12,,,4.519e-12
319.45,1.612e-12,,,1.612e-12
319.5,5.472e-13,,,5.472e-13
319.55,1.769e-13,,,1.769e-13
319.6,5.441e-14,,,5.441e-14
319.65,1.593e-14,,,1.593e-14
319.7,4.440e-15,,,4.440e-15
319.75,1.178e-15,,,1.178e-15
319.8,2.975e-16,,,2.975e-16
319.85,7.152e-17,,,7.152e-17
319.9,1.636e-17,,,1.636e-17
319.95,3.564e-18,,,3.564e-18
320,7.390e-19,,,7.390e-19
320.05,1.458e-19,,,1.458e-19
320.1,2.739e-20,,,2.739e-20
320.15,4.898e-21,,,4.898e-21
320.2,8.337e-22,,,8.337e-22
320.25,1.351e-22,,,1.351e-22
320.3,2.083e-23,,,2.083e-23
325.61,1.096e-15,,1.096e-15,
325.66,6.717e-15,,6.717e-15,
325.71,3.927e-14,,3.927e-14,
325.76,2.192e-13,,2.192e-13,
325.81,1.168e-12,,1.168e-12,
325.86,5.937e-12,,5.937e-12,
325.91,2.881e-11,,2.881e-11,
325.96,1.334e-10,,1.334e-10,
326.01,5.900e-10,,5.900e-10,
326.06,2.490e-9,,2.490e-9,
326.11,1.003e-8,,1.003e-8,
326.16,3.855e-8,,3.855e-8,
326.21,1.415e-7,,1.415e-7,
326.26,4.954e-7,,4.954e-7,
326.31,1.656e-6,,1.656e-6,
326.36,5.284e-6,,5.284e-6,6.297e-24
326.41,1.609e-5,,1.609e-5,3.826e-23
326.46,4.678e-5,,4.678e-5,2.219e-22
326.51,1.298e-4,,1.298e-4,1.229e-21
326.56,3.437e-4,,3.437e-4,6.496e-21
326.61,8.686e-4,,8.686e-4,3.278e-20
326.66,2.096e-3,,2.096e-3,1.579e-19
326.71,4.825e-3,,4.825e-3,7.265e-19
326.76,1.061e-2,,1.061e-2,3.190e-18
326.81,2.225e-2,,2.225e-2,1.337e-17
326.86,4.454e-2,,4.454e-2,5.352e-17
326.91,8.513e-2,,8.513e-2,2.045e-16
326.96,1.553e-1,,1.553e-1,7.459e-16
327.01,2.704e-1,,2.704e-1,2.597e-15
327.06,4.493e-1,,4.493e-1,8.635e-15
327.11,7.126e-1,,7.126e-1,2.740e-14
327.16,1.079e+0,,1.079e+0,8.303e-14
327.21,1.559e+0,,1.559e+0,2.402e-13
327.26,2.150e+0,,2.150e+0,6.633e-13
327.31,2.830e+0,,2.830e+0,1.749e-12
327.36,3.556e+0,,3.556e+0,4.402e-12
327.41,4.265e+0,,4.265e+0,1.058e-11
327.46,4.882e+0,,4.882e+0,2.427e-11
327.51,5.334e+0,,5.334e+0,5.317e-11
327.56,5.562e+0,,5.562e+0,1.112e-10
327.61,5.537e+0,,5.537e+0,2.221e-10
327.66,5.260e+0,,5.260e+0,4.236e-10
327.71,4.770e+0,,4.770e+0,7.716e-10
327.76,4.128e+0,,4.128e+0,1.343e-9
327.81,3.410e+0,,3.410e+0,2.232e-9
327.86,2.689e+0,,2.689e+0,3.548e-9
327.91,2.024e+0,,2.024e+0,5.393e-9
327.96,1.454e+0,,1.454e+0,7.846e-9
328.01,9.967e-1,,9.967e-1,1.094e-8
328.06,6.522e-1,,6.522e-1,1.463e-8
328.11,4.074e-1,,4.074e-1,1.883e-8
328.16,2.429e-1,,2.429e-1,2.336e-8
328.21,1.382e-1,,1.382e-1,2.804e-8
328.26,7.507e-2,,7.507e-2,3.270e-8
328.31,3.891e-2,,3.891e-2,3.724e-8
328.36,1.925e-2,,1.925e-2,4.161e-8
328.41,9.094e-3,,9.094e-3,4.578e-8
328.46,4.099e-3,,4.099e-3,4.974e-8
328.51,1.764e-3,,1.764e-3,5.338e-8
328.56,7.243e-4,,7.243e-4,5.647e-8
328.61,2.840e-4,,2.839e-4,5.869e-8
328.66,1.063e-4,,1.062e-4,5.964e-8
328.71,3.799e-5,,3.793e-5,5.898e-8
328.76,1.298e-5,,1.293e-5,5.651e-8
328.81,4.258e-6,,4.205e-6,5.226e-8
328.86,1.352e-6,,1.306e-6,4.652e-8
