Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
236.53,1.855e+3,2.593e+1,1.829e+3
236.58,3.969e+3,1.702e+1,3.952e+3
236.63,7.843e+3,1.022e+1,7.833e+3
236.68,1.422e+4,5.609e+0,1.422e+4
236.73,2.361e+4,2.815e+0,2.361e+4
236.78,3.588e+4,1.292e+0,3.588e+4
236.83,4.988e+4,5.420e-1,4.988e+4
236.88,6.344e+4,2.080e-1,6.344e+4
236.93,7.381e+4,7.295e-2,7.381e+4
236.98,7.857e+4,2.340e-2,7.857e+4
237.03,7.651e+4,6.864e-3,7.651e+4
237.08,6.816e+4,1.841e-3,6.816e+4
237.13,5.555e+4,4.514e-4,5.555e+4
237.18,4.143e+4,1.012e-4,4.143e+4
237.23,2.827e+4,2.075e-5,2.827e+4
237.28,1.766e+4,3.889e-6,1.766e+4
237.33,1.013e+4,6.666e-7,1.013e+4
237.38,5.355e+3,1.045e-7,5.355e+3
237.43,2.658e+3,1.497e-8,2.658e+3
237.48,1.297e+3,1.962e-9,1.297e+3
237.53,6.881e+2,2.350e-10,6.881e+2
237.58,4.461e+2,2.575e-11,4.461e+2
237.63,3.537e+2,2.579e-12,3.537e+2
237.68,3.055e+2,2.362e-13,3.055e+2
237.73,2.601e+2,1.978e-14,2.601e+2
237.78,2.084e+2,,2.084e+2
237.83,1.547e+2,,1.547e+2
237.88,1.058e+2,,1.058e+2
237.93,6.686e+1,,6.686e+1
237.98,3.927e+1,,3.927e+1
238.03,2.210e+1,,2.210e+1
238.08,1.319e+1,,1.319e+1
238.13,1.045e+1,,1.045e+1
238.18,1.234e+1,,1.234e+1
238.23,1.784e+1,,1.784e+1
238.28,2.606e+1,,2.606e+1
238.33,3.577e+1,,3.577e+1
238.38,4.526e+1,,4.526e+1
238.43,5.252e+1,,5.252e+1
238.48,5.585e+1,,5.585e+1
238.53,5.439e+1,,5.439e+1
238.58,4.852e+1,,4.852e+1
238.63,3.964e+1,,3.964e+1
238.68,2.966e+1,,2.966e+1
238.73,2.032e+1,,2.032e+1
238.78,1.275e+1,,1.275e+1
238.83,7.330e+0,,7.330e+0
238.88,3.859e+0,,3.859e+0
238.93,1.860e+0,,1.860e+0
238.98,8.214e-1,,8.214e-1
239.03,3.324e-1,,3.324e-1
239.08,1.244e-1,,1.244e-1
239.13,4.843e-2,,4.843e-2
239.18,4.258e-2,,4.258e-2
239.23,1.235e-1,,1.235e-1
239.28,4.453e-1,,4.453e-1
239.33,1.511e+0,,1.511e+0
239.38,4.710e+0,,4.710e+0
239.43,1.346e+1,,1.346e+1
239.48,3.529e+1,,3.529e+1
239.53,8.479e+1,,8.479e+1
239.58,1.868e+2,,1.868e+2
239.63,3.775e+2,,3.775e+2
239.68,6.994e+2,,6.994e+2
239.73,1.189e+3,,1.189e+3
239.78,1.853e+3,,1.853e+3
239.83,2.652e+3,,2.652e+3
239.88,3.485e+3,,3.485e+3
239.93,4.212e+3,,4.212e+3
239.98,4.693e+3,,4.693e+3
240.03,4.837e+3,,4.837e+3
240.08,4.639e+3,,4.639e+3
240.13,4.178e+3,,4.178e+3
