Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
407.83,3.482e-7,3.482e-7,,
407.88,3.343e-7,3.343e-7,,
407.93,3.265e-7,3.265e-7,,
407.98,3.229e-7,3.229e-7,,
408.03,3.221e-7,3.221e-7,,
408.08,3.231e-7,3.231e-7,,
408.13,3.274e-7,3.274e-7,,
408.18,3.434e-7,3.434e-7,,
408.23,3.981e-7,3.981e-7,,
408.28,5.652e-7,5.652e-7,,
408.33,1.036e-6,1.036e-6,,
408.38,2.283e-6,2.283e-6,,
408.43,5.446e-6,5.446e-6,,
408.48,1.317e-5,1.317e-5,,
408.53,3.142e-5,3.142e-5,,
408.58,7.314e-5,7.314e-5,,
408.63,1.656e-4,1.656e-4,,
408.68,3.641e-4,3.641e-4,,
408.73,7.773e-4,7.773e-4,,
408.78,1.611e-3,1.611e-3,,
408.83,3.241e-3,3.241e-3,,
408.88,6.329e-3,6.329e-3,,
408.93,1.200e-2,1.200e-2,,
408.98,2.208e-2,2.208e-2,,
409.03,3.944e-2,3.944e-2,,
409.08,6.837e-2,6.837e-2,,
409.13,1.151e-1,1.151e-1,,
409.18,1.880e-1,1.880e-1,,
409.23,2.981e-1,2.981e-1,,
409.28,4.589e-1,4.589e-1,,
409.33,6.857e-1,6.857e-1,,
409.38,9.945e-1,9.945e-1,,
409.43,1.400e+0,1.400e+0,,
409.48,1.914e+0,1.914e+0,,
409.53,2.538e+0,2.538e+0,,
409.58,3.269e+0,3.269e+0,,
409.63,4.086e+0,4.086e+0,,
409.68,4.957e+0,4.957e+0,,
409.73,5.838e+0,5.838e+0,,
409.78,6.675e+0,6.675e+0,,
409.83,7.407e+0,7.407e+0,,
409.88,7.979e+0,7.979e+0,,
409.93,8.343e+0,8.343e+0,,
409.98,8.468e+0,8.468e+0,,
410.03,8.343e+0,8.343e+0,,
410.08,7.979e+0,7.979e+0,,
410.13,7.407e+0,7.407e+0,,
410.18,6.675e+0,6.675e+0,,
410.23,5.838e+0,5.838e+0,,
410.28,4.957e+0,4.957e+0,,
410.33,4.086e+0,4.086e+0,,
410.38,3.269e+0,3.269e+0,,
410.43,2.538e+0,2.538e+0,,
410.48,1.914e+0,1.914e+0,,
410.53,1.400e+0,1.400e+0,,
410.58,9.945e-1,9.945e-1,,
410.63,6.857e-1,6.857e-1,,
410.68,4.589e-1,4.589e-1,,
410.73,2.981e-1,2.981e-1,,
410.78,1.880e-1,1.880e-1,,
410.83,1.151e-1,1.151e-1,,
410.88,6.837e-2,6.837e-2,,
410.93,3.944e-2,3.944e-2,,
410.98,2.208e-2,2.208e-2,,
411.03,1.200e-2,1.200e-2,,
411.08,6.329e-3,6.329e-3,,
411.13,3.241e-3,3.241e-3,,
411.18,1.611e-3,1.611e-3,,
411.23,7.773e-4,7.773e-4,,
411.28,3.640e-4,3.640e-4,,
411.33,1.655e-4,1.655e-4,,
411.38,7.303e-5,7.303e-5,,
411.43,3.128e-5,3.128e-5,,
411.48,1.301e-5,1.301e-5,,
411.53,5.250e-6,5.250e-6,,
411.58,2.057e-6,2.057e-6,,
411.63,7.822e-7,7.822e-7,,
411.68,2.888e-7,2.888e-7,,
411.73,1.035e-7,1.035e-7,,
411.78,3.599e-8,3.599e-8,,
411.83,1.215e-8,1.215e-8,,
411.88,3.983e-9,3.983e-9,,
411.93,1.267e-9,1.267e-9,,
411.98,3.913e-10,3.913e-10,,
412.03,1.173e-10,1.173e-10,,
412.08,3.413e-11,3.413e-11,,
412.13,9.640e-12,9.640e-12,,
412.18,2.643e-12,2.643e-12,,
412.23,7.034e-13,7.034e-13,,
412.28,1.817e-13,1.817e-13,,
412.33,4.557e-14,4.557e-14,,
412.38,1.109e-14,1.109e-14,,
412.43,2.621e-15,2.621e-15,,
414.23,2.309e-13,2.309e-13,,
414.28,9.601e-13,9.601e-13,,
414.33,3.880e-12,3.880e-12,,
414.38,1.523e-11,1.523e-11,,
414.43,5.810e-11,5.810e-11,,
414.48,2.153e-10,2.153e-10,,
414.53,7.754e-10,7.754e-10,,
414.58,2.713e-9,2.713e-9,,
414.63,9.223e-9,9.223e-9,,
414.68,3.046e-8,3.046e-8,,
414.73,9.777e-8,9.777e-8,,
414.78,3.049e-7,3.049e-7,,
414.83,9.237e-7,9.237e-7,,
414.88,2.719e-6,2.719e-6,,
414.93,7.777e-6,7.777e-6,,
414.98,2.161e-5,2.161e-5,,
415.03,5.836e-5,5.836e-5,,
415.08,1.531e-4,1.531e-4,,
415.13,3.903e-4,3.903e-4,,
415.18,9.666e-4,9.666e-4,,
415.23,2.326e-3,2.326e-3,,
415.28,5.439e-3,5.439e-3,,
415.33,1.236e-2,1.236e-2,,
415.38,2.727e-2,2.727e-2,,
415.43,5.849e-2,5.849e-2,,
415.48,1.219e-1,1.219e-1,,
415.53,2.468e-1,2.468e-1,,
415.58,4.854e-1,4.854e-1,,
415.63,9.278e-1,9.278e-1,,
415.68,1.723e+0,1.723e+0,,
415.73,3.109e+0,3.109e+0,,
415.78,5.451e+0,5.451e+0,,
415.83,9.285e+0,9.285e+0,,
415.88,1.537e+1,1.537e+1,,
415.93,2.471e+1,2.471e+1,,
415.98,3.861e+1,3.861e+1,,
416.03,5.862e+1,5.862e+1,,
416.08,8.647e+1,8.647e+1,,
416.13,1.239e+2,1.239e+2,,
416.18,1.726e+2,1.726e+2,,
