Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
445.14,4.204e-4,,4.204e-4,
445.19,1.943e-4,,1.943e-4,
445.24,8.763e-5,,8.763e-5,
445.29,3.854e-5,,3.854e-5,
445.34,1.653e-5,,1.653e-5,
445.39,6.915e-6,,6.915e-6,
445.44,2.821e-6,,2.821e-6,
445.49,1.122e-6,,1.122e-6,
445.54,4.354e-7,,4.354e-7,
445.59,1.649e-7,,1.649e-7,
445.64,6.164e-8,,6.164e-8,
445.69,2.490e-8,,2.490e-8,
445.74,1.774e-8,,1.774e-8,
445.79,3.511e-8,,3.511e-8,
445.84,1.031e-7,,1.031e-7,
445.89,3.138e-7,,3.138e-7,
445.94,9.385e-7,,9.385e-7,
445.99,2.740e-6,,2.740e-6,
446.04,7.801e-6,,7.801e-6,
446.09,2.167e-5,,2.167e-5,
446.14,5.871e-5,,5.871e-5,
446.19,1.551e-4,,1.551e-4,
446.24,3.999e-4,,3.999e-4,
446.29,1.006e-3,,1.006e-3,
446.34,2.467e-3,,2.467e-3,
446.39,5.901e-3,,5.901e-3,
446.44,1.377e-2,,1.377e-2,
446.49,3.135e-2,,3.135e-2,
446.54,6.960e-2,,6.960e-2,
446.59,1.507e-1,,1.507e-1,
446.64,3.185e-1,,3.185e-1,
446.69,6.563e-1,,6.563e-1,
446.74,1.319e+0,,1.319e+0,
446.79,2.586e+0,,2.586e+0,
446.84,4.947e+0,,4.947e+0,
446.89,9.228e+0,,9.228e+0,
446.94,1.679e+1,,1.679e+1,
446.99,2.980e+1,,2.980e+1,
447.04,5.160e+1,,5.160e+1,
447.09,8.715e+1,,8.715e+1,
447.14,1.436e+2,,1.436e+2,
447.19,2.307e+2,,2.307e+2,
447.24,3.616e+2,,3.616e+2,
447.29,5.528e+2,,5.528e+2,
447.34,8.244e+2,,8.244e+2,
447.39,1.199e+3,,1.199e+3,
447.44,1.701e+3,,1.701e+3,
447.49,2.355e+3,,2.355e+3,
447.54,3.179e+3,,3.179e+3,
447.59,4.187e+3,,4.187e+3,
447.64,5.378e+3,,5.378e+3,
447.7,7.028e+3,,7.028e+3,
447.75,8.547e+3,,8.547e+3,
447.8,1.014e+4,,1.014e+4,
447.85,1.173e+4,,1.173e+4,
447.9,1.324e+4,,1.324e+4,
447.95,1.458e+4,,1.458e+4,
448,1.565e+4,,1.565e+4,
448.05,1.640e+4,,1.640e+4,
448.1,1.675e+4,,1.675e+4,
448.15,1.670e+4,,1.670e+4,
448.2,1.623e+4,,1.623e+4,
448.25,1.539e+4,,1.539e+4,
448.3,1.424e+4,,1.424e+4,
448.35,1.285e+4,,1.285e+4,
448.4,1.131e+4,,1.131e+4,
448.45,9.707e+3,,9.707e+3,
448.5,8.129e+3,,8.129e+3,
448.55,6.640e+3,,6.640e+3,
448.6,5.290e+3,,5.290e+3,
448.65,4.111e+3,,4.111e+3,
448.7,3.117e+3,,3.117e+3,
448.75,2.305e+3,,2.305e+3,
448.8,1.662e+3,,1.662e+3,
448.85,1.170e+3,,1.170e+3,
448.9,8.026e+2,,8.026e+2,
448.95,5.373e+2,,5.373e+2,
449,3.508e+2,,3.508e+2,
449.05,2.235e+2,,2.235e+2,
449.1,1.388e+2,,1.388e+2,
449.15,8.413e+1,,8.413e+1,
449.2,4.973e+1,,4.973e+1,
449.25,2.868e+1,,2.868e+1,
449.3,1.613e+1,,1.613e+1,
449.35,8.848e+0,,8.848e+0,
449.4,4.735e+0,,4.735e+0,
449.45,2.472e+0,,2.472e+0,
449.5,1.259e+0,,1.259e+0,
449.55,6.251e-1,,6.251e-1,
449.6,3.028e-1,,3.028e-1,
449.65,1.431e-1,,1.431e-1,
449.7,6.596e-2,,6.596e-2,
449.75,2.966e-2,,2.966e-2,
449.8,1.301e-2,,1.301e-2,
449.85,5.565e-3,,5.565e-3,
449.9,2.322e-3,,2.322e-3,
449.95,9.452e-4,,9.452e-4,
450,3.753e-4,,3.753e-4,
450.05,1.453e-4,,1.453e-4,
450.1,5.491e-5,,5.491e-5,
450.15,2.023e-5,,2.023e-5,
450.2,7.272e-6,,7.272e-6,
450.25,2.550e-6,,2.550e-6,
450.3,8.723e-7,,8.723e-7,
450.35,2.916e-7,,2.916e-7,
450.4,9.636e-8,,9.636e-8,
450.45,3.409e-8,,3.409e-8,
450.5,1.871e-8,,1.871e-8,
450.55,2.414e-8,,2.414e-8,
450.6,4.803e-8,,4.803e-8,
450.65,1.022e-7,,1.022e-7,
450.7,2.150e-7,,2.150e-7,
450.75,4.423e-7,,4.423e-7,
450.8,8.880e-7,,8.880e-7,
450.85,1.740e-6,,1.740e-6,
450.9,3.327e-6,,3.327e-6,
450.95,6.209e-6,,6.209e-6,
451,1.131e-5,,1.131e-5,
451.05,2.010e-5,,2.010e-5,
451.1,3.487e-5,,3.487e-5,
451.15,5.902e-5,,5.902e-5,
451.2,9.751e-5,,9.751e-5,
451.25,1.572e-4,,1.572e-4,
451.3,2.474e-4,,2.474e-4,
451.35,3.799e-4,,3.799e-4,
451.4,5.693e-4,,5.693e-4,
451.45,8.326e-4,,8.326e-4,
451.5,1.188e-3,,1.188e-3,
451.55,1.655e-3,,1.655e-3,
451.6,2.250e-3,,2.250e-3,
451.65,2.986e-3,,2.986e-3,
451.7,3.866e-3,,3.866e-3,
451.75,4.885e-3,,4.885e-3,
451.8,6.024e-3,,6.024e-3,
451.85,7.250e-3,,7.250e-3,
451.9,8.515e-3,,8.515e-3,
451.95,9.761e-3,,9.761e-3,
452,1.092e-2,,1.092e-2,
452.05,1.192e-2,,1.192e-2,
452.1,1.270e-2,,1.270e-2,
452.15,1.321e-2,,1.321e-2,
452.2,1.340e-2,,1.340e-2,
452.25,1.327e-2,,1.327e-2,
452.3,1.283e-2,,1.283e-2,
452.35,1.210e-2,,1.210e-2,
452.4,1.114e-2,,1.114e-2,
452.45,1.001e-2,,1.001e-2,
452.5,8.777e-3,,8.777e-3,
452.55,7.510e-3,,7.510e-3,
452.6,6.272e-3,,6.272e-3,
452.65,5.112e-3,,5.112e-3,
452.7,4.066e-3,,4.066e-3,
452.75,3.156e-3,,3.156e-3,
452.8,2.391e-3,,2.391e-3,
452.85,1.768e-3,,1.768e-3,
452.9,1.277e-3,,1.277e-3,
452.95,9.006e-4,,9.006e-4,
453,6.221e-4,,6.221e-4,
453.05,4.237e-4,,4.237e-4,
453.1,2.904e-4,,2.904e-4,
453.15,2.112e-4,,2.112e-4,
453.2,1.812e-4,,1.812e-4,
453.25,2.035e-4,,2.035e-4,
453.3,2.919e-4,,2.919e-4,
453.35,4.757e-4,,4.757e-4,
453.4,8.053e-4,,8.053e-4,
453.45,1.360e-3,,1.360e-3,
453.5,2.258e-3,3.322e-21,2.258e-3,
453.55,3.669e-3,1.236e-20,3.669e-3,
453.6,5.823e-3,4.489e-20,5.823e-3,
453.65,9.024e-3,1.592e-19,9.024e-3,
453.7,1.365e-2,5.510e-19,1.365e-2,
453.75,2.015e-2,1.862e-18,2.015e-2,
453.8,2.904e-2,6.144e-18,2.904e-2,
453.85,4.085e-2,1.979e-17,4.085e-2,
453.9,5.609e-2,6.223e-17,5.609e-2,
453.95,7.518e-2,1.910e-16,7.518e-2,
454,9.835e-2,5.726e-16,9.835e-2,
454.05,1.256e-1,1.675e-15,1.256e-1,
454.1,1.565e-1,4.785e-15,1.565e-1,
454.15,1.904e-1,1.335e-14,1.904e-1,
454.2,2.261e-1,3.633e-14,2.261e-1,
454.25,2.621e-1,9.657e-14,2.621e-1,
454.3,2.965e-1,2.506e-13,2.965e-1,
454.35,3.275e-1,6.350e-13,3.275e-1,
454.4,3.530e-1,1.571e-12,3.530e-1,
454.45,3.714e-1,3.793e-12,3.714e-1,
454.5,3.814e-1,8.942e-12,3.814e-1,
454.55,3.823e-1,2.059e-11,3.823e-1,
454.6,3.741e-1,4.627e-11,3.741e-1,
454.65,3.573e-1,1.016e-10,3.573e-1,
454.7,3.330e-1,2.178e-10,3.330e-1,
454.75,3.031e-1,4.562e-10,3.031e-1,
454.8,2.692e-1,9.336e-10,2.692e-1,
454.85,2.333e-1,1.868e-9,2.333e-1,
454.9,1.975e-1,3.657e-9,1.975e-1,
454.95,1.631e-1,7.011e-9,1.631e-1,
455,1.315e-1,1.318e-8,1.315e-1,
455.05,1.035e-1,2.436e-8,1.035e-1,
455.1,7.948e-2,4.437e-8,7.948e-2,
455.15,5.959e-2,7.996e-8,5.959e-2,
455.2,4.361e-2,1.433e-7,4.361e-2,
455.25,3.115e-2,2.570e-7,3.115e-2,
455.3,2.172e-2,4.639e-7,2.172e-2,
455.35,1.478e-2,8.478e-7,1.478e-2,
455.4,9.822e-3,1.574e-6,9.821e-3,
455.45,6.371e-3,2.972e-6,6.368e-3,
455.5,4.036e-3,5.692e-6,4.030e-3,
455.55,2.501e-3,1.100e-5,2.490e-3,
455.6,1.523e-3,2.134e-5,1.501e-3,
455.65,9.250e-4,4.127e-5,8.837e-4,
455.7,5.869e-4,7.913e-5,5.077e-4,
455.75,4.345e-4,1.498e-4,2.847e-4,
455.8,4.350e-4,2.791e-4,1.558e-4,
455.85,5.938e-4,5.105e-4,8.327e-5,
455.9,9.584e-4,9.150e-4,4.342e-5,
455.95,1.627e-3,1.605e-3,2.210e-5,
456,2.765e-3,2.754e-3,1.098e-5,
456.05,4.623e-3,4.618e-3,5.327e-6,
456.1,7.570e-3,7.567e-3,2.522e-6,
456.15,1.211e-2,1.211e-2,1.165e-6,
456.2,1.894e-2,1.893e-2,5.255e-7,
456.25,2.891e-2,2.891e-2,2.315e-7,
456.3,4.310e-2,4.310e-2,9.968e-8,
456.35,6.273e-2,6.273e-2,4.236e-8,
456.4,8.917e-2,8.917e-2,1.862e-8,
456.45,1.238e-1,1.238e-1,1.037e-8,
456.5,1.677e-1,1.677e-1,1.060e-8,
456.55,2.219e-1,2.219e-1,1.833e-8,
456.6,2.866e-1,2.866e-1,3.729e-8,
456.65,3.615e-1,3.615e-1,7.693e-8,
456.7,4.451e-1,4.451e-1,1.561e-7,
456.75,5.352e-1,5.352e-1,3.095e-7,
456.8,6.282e-1,6.282e-1,5.996e-7,
456.85,7.200e-1,7.200e-1,1.134e-6,
456.9,8.057e-1,8.057e-1,2.095e-6,
456.95,8.803e-1,8.803e-1,3.779e-6,
457,9.391e-1,9.391e-1,6.656e-6,
457.05,9.781e-1,9.781e-1,1.145e-5,
457.1,9.946e-1,9.946e-1,1.923e-5,
457.15,9.875e-1,9.875e-1,3.153e-5,
457.2,9.573e-1,9.572e-1,5.049e-5,
457.25,9.061e-1,9.060e-1,7.894e-5,
457.3,8.373e-1,8.372e-1,1.205e-4,
457.35,7.555e-1,7.553e-1,1.797e-4,
457.4,6.656e-1,6.654e-1,2.616e-4,
457.45,5.726e-1,5.722e-1,3.720e-4,
457.5,4.810e-1,4.805e-1,5.164e-4,
457.55,3.947e-1,3.940e-1,7.000e-4,
457.6,3.163e-1,3.154e-1,9.265e-4,
457.65,2.477e-1,2.465e-1,1.198e-3,
457.7,1.896e-1,1.881e-1,1.511e-3,
457.75,1.420e-1,1.401e-1,1.863e-3,
457.8,1.042e-1,1.019e-1,2.242e-3,
457.85,7.503e-2,7.239e-2,2.634e-3,
457.9,5.322e-2,5.020e-2,3.023e-3,
457.95,3.737e-2,3.399e-2,3.387e-3,
458,2.617e-2,2.246e-2,3.706e-3,
458.05,1.846e-2,1.450e-2,3.960e-3,
458.1,1.327e-2,9.136e-3,4.131e-3,
458.15,9.829e-3,5.621e-3,4.208e-3,
458.2,7.563e-3,3.376e-3,4.186e-3,
458.25,6.047e-3,1.980e-3,4.066e-3,
458.3,4.991e-3,1.134e-3,3.857e-3,
458.35,4.206e-3,6.339e-4,3.573e-3,
458.4,3.577e-3,3.460e-4,3.231e-3,
458.45,3.038e-3,1.844e-4,2.854e-3,
458.5,2.557e-3,9.596e-5,2.461e-3,
458.55,2.121e-3,4.875e-5,2.072e-3,
458.6,1.728e-3,2.418e-5,1.704e-3,
458.65,1.380e-3,1.171e-5,1.368e-3,
458.7,1.078e-3,5.538e-6,1.073e-3,
458.75,8.239e-4,2.557e-6,8.213e-4,
458.8,6.152e-4,1.153e-6,6.140e-4,
458.85,4.488e-4,5.073e-7,4.483e-4,
458.9,3.198e-4,2.180e-7,3.195e-4,
458.95,2.225e-4,9.146e-8,2.224e-4,
459,1.512e-4,3.747e-8,1.512e-4,
459.05,1.004e-4,1.499e-8,1.003e-4,
459.1,6.504e-5,5.852e-9,6.504e-5,
459.15,4.116e-5,2.232e-9,4.116e-5,
459.2,2.544e-5,8.309e-10,2.544e-5,
459.25,1.535e-5,3.021e-10,1.535e-5,
459.3,9.044e-6,1.072e-10,9.044e-6,
459.35,5.204e-6,3.716e-11,5.204e-6,
459.4,2.924e-6,1.258e-11,2.924e-6,
459.45,1.604e-6,4.157e-12,1.604e-6,
459.5,8.594e-7,1.342e-12,8.594e-7,
459.55,4.496e-7,4.228e-13,4.496e-7,
459.6,2.297e-7,1.301e-13,2.297e-7,
459.65,1.146e-7,3.912e-14,1.146e-7,
459.7,5.580e-8,1.149e-14,5.580e-8,
459.75,2.654e-8,3.294e-15,2.654e-8,
459.8,1.233e-8,9.230e-16,1.233e-8,
459.85,5.590e-9,2.526e-16,5.590e-9,
459.9,2.476e-9,1.686e-18,2.476e-9,
459.95,1.071e-9,5.370e-19,1.071e-9,
460,4.520e-10,1.670e-19,4.520e-10,
460.05,1.864e-10,5.071e-20,1.864e-10,
460.1,7.504e-11,1.503e-20,7.504e-11,
460.15,2.950e-11,4.352e-21,2.950e-11,
460.2,1.133e-11,1.254e-21,1.133e-11,
460.25,4.246e-12,4.255e-22,4.246e-12,
460.3,1.554e-12,3.979e-22,1.554e-12,
460.35,5.559e-13,1.067e-21,5.559e-13,
460.4,1.950e-13,3.631e-21,1.950e-13,
460.45,6.994e-14,1.207e-20,6.994e-14,
460.5,3.504e-14,3.919e-20,3.504e-14,
460.55,5.041e-14,1.243e-19,5.041e-14,
460.6,1.425e-13,3.854e-19,1.425e-13,
460.65,4.449e-13,1.167e-18,4.449e-13,
460.7,1.375e-12,3.452e-18,1.375e-12,
460.75,4.156e-12,9.976e-18,4.156e-12,
460.8,1.228e-11,2.817e-17,1.228e-11,
460.85,3.543e-11,7.769e-17,3.543e-11,
460.9,9.992e-11,2.094e-16,9.992e-11,
460.95,2.753e-10,5.511e-16,2.753e-10,
461,7.410e-10,1.417e-15,7.410e-10,
461.05,1.949e-9,3.561e-15,1.949e-9,
461.1,5.007e-9,8.742e-15,5.007e-9,
461.15,1.257e-8,2.096e-14,1.257e-8,
461.2,3.083e-8,4.911e-14,3.083e-8,
461.25,7.388e-8,1.124e-13,7.388e-8,
461.3,1.730e-7,2.513e-13,1.730e-7,
461.35,3.957e-7,5.490e-13,3.957e-7,
461.4,8.845e-7,1.172e-12,8.845e-7,
461.45,1.931e-6,2.443e-12,1.931e-6,
461.5,4.121e-6,4.976e-12,4.121e-6,
461.55,8.590e-6,9.901e-12,8.590e-6,
461.6,1.750e-5,1.925e-11,1.750e-5,
461.65,3.481e-5,3.655e-11,3.481e-5,
461.7,6.769e-5,6.782e-11,6.769e-5,
461.75,1.286e-4,1.229e-10,1.286e-4,
461.8,2.386e-4,2.177e-10,2.386e-4,
461.85,4.327e-4,3.766e-10,4.327e-4,
461.9,7.667e-4,6.365e-10,7.667e-4,
461.95,1.327e-3,1.051e-9,1.327e-3,
462,2.245e-3,1.695e-9,2.245e-3,
462.05,3.709e-3,2.671e-9,3.709e-3,
462.1,5.989e-3,4.113e-9,5.989e-3,
462.15,9.448e-3,6.186e-9,9.448e-3,
462.2,1.456e-2,9.090e-9,1.456e-2,
462.25,2.193e-2,1.305e-8,2.193e-2,
462.3,3.227e-2,1.830e-8,3.227e-2,
462.35,4.639e-2,2.507e-8,4.639e-2,
462.4,6.516e-2,3.356e-8,6.516e-2,
462.45,8.942e-2,4.388e-8,8.942e-2,
462.5,1.199e-1,5.606e-8,1.199e-1,
462.55,1.571e-1,6.997e-8,1.571e-1,
462.6,2.011e-1,8.531e-8,2.011e-1,
462.65,2.515e-1,1.016e-7,2.515e-1,
462.7,3.074e-1,1.182e-7,3.074e-1,
462.75,3.670e-1,1.344e-7,3.670e-1,
462.8,4.282e-1,1.493e-7,4.282e-1,
462.85,4.880e-1,1.620e-7,4.880e-1,
462.9,5.435e-1,1.717e-7,5.435e-1,
462.95,5.915e-1,1.779e-7,5.915e-1,
463,6.289e-1,1.799e-7,6.289e-1,
463.05,6.533e-1,1.779e-7,6.533e-1,
463.1,6.631e-1,1.717e-7,6.631e-1,
463.15,6.576e-1,1.620e-7,6.576e-1,
463.2,6.372e-1,1.493e-7,6.372e-1,
463.25,6.033e-1,1.344e-7,6.033e-1,
463.3,5.581e-1,1.182e-7,5.581e-1,
463.35,5.045e-1,1.016e-7,5.045e-1,
463.4,4.455e-1,8.531e-8,4.455e-1,
463.45,3.844e-1,6.997e-8,3.844e-1,
463.5,3.241e-1,5.606e-8,3.241e-1,
463.55,2.670e-1,4.388e-8,2.670e-1,
463.6,2.149e-1,3.356e-8,2.149e-1,
463.65,1.690e-1,2.507e-8,1.690e-1,
463.7,1.299e-1,1.830e-8,1.299e-1,
463.75,9.752e-2,1.305e-8,9.752e-2,
463.8,7.154e-2,9.090e-9,7.154e-2,
463.85,5.128e-2,6.186e-9,5.128e-2,
463.9,3.592e-2,4.113e-9,3.592e-2,
463.95,2.458e-2,2.671e-9,2.458e-2,
464,1.643e-2,1.695e-9,1.643e-2,
464.05,1.074e-2,1.051e-9,1.074e-2,
464.1,6.853e-3,6.365e-10,6.853e-3,
464.15,4.275e-3,3.766e-10,4.275e-3,
464.2,2.605e-3,2.177e-10,2.605e-3,
464.25,1.551e-3,1.229e-10,1.551e-3,
464.3,9.025e-4,6.782e-11,9.025e-4,
464.35,5.130e-4,3.655e-11,5.130e-4,
464.4,2.850e-4,1.925e-11,2.850e-4,
464.45,1.547e-4,9.901e-12,1.547e-4,
464.5,8.201e-5,4.976e-12,8.201e-5,
464.55,4.249e-5,2.443e-12,4.249e-5,
464.6,2.151e-5,1.172e-12,2.151e-5,
464.65,1.064e-5,5.490e-13,1.064e-5,
464.7,5.143e-6,2.513e-13,5.143e-6,
464.75,2.429e-6,1.124e-13,2.429e-6,
464.8,1.121e-6,4.911e-14,1.121e-6,
464.85,5.053e-7,2.096e-14,5.053e-7,
464.9,2.226e-7,8.742e-15,2.226e-7,
464.95,9.582e-8,3.561e-15,9.582e-8,
465,4.030e-8,1.417e-15,4.030e-8,
465.05,1.656e-8,5.511e-16,1.656e-8,
465.1,6.649e-9,2.094e-16,6.649e-9,
465.15,2.609e-9,7.769e-17,2.609e-9,
465.2,1.000e-9,2.817e-17,1.000e-9,
465.25,3.745e-10,9.976e-18,3.745e-10,
465.3,1.371e-10,3.452e-18,1.371e-10,
465.35,4.901e-11,1.167e-18,4.901e-11,
465.4,1.712e-11,3.854e-19,1.712e-11,
465.45,5.846e-12,1.243e-19,5.846e-12,
465.5,1.950e-12,3.919e-20,1.950e-12,
465.55,6.355e-13,1.207e-20,6.355e-13,
465.6,2.024e-13,3.631e-21,2.024e-13,
465.65,6.296e-14,1.067e-21,6.296e-14,
465.7,1.914e-14,3.064e-22,1.914e-14,
465.75,5.686e-15,8.594e-23,5.686e-15,
465.8,1.650e-15,2.355e-23,1.650e-15,
465.85,4.680e-16,,4.680e-16,
465.9,8.872e-17,,8.872e-17,
467.45,2.187e-13,2.187e-13,,
467.5,7.845e-13,7.845e-13,,
467.55,2.751e-12,2.751e-12,,
467.6,9.431e-12,9.431e-12,,
467.65,3.161e-11,3.161e-11,,
467.7,1.036e-10,1.036e-10,,
467.75,3.318e-10,3.318e-10,,
467.8,1.039e-9,1.039e-9,,
467.85,3.181e-9,3.181e-9,,
467.9,9.522e-9,9.522e-9,,
467.95,2.787e-8,2.787e-8,,
468,7.972e-8,7.972e-8,,
468.05,2.230e-7,2.230e-7,,
468.1,6.098e-7,6.098e-7,,
468.15,1.630e-6,1.630e-6,,
468.2,4.261e-6,4.261e-6,,
468.25,1.089e-5,1.089e-5,,
468.3,2.720e-5,2.720e-5,,
468.35,6.642e-5,6.642e-5,,
468.4,1.586e-4,1.586e-4,,
468.45,3.702e-4,3.702e-4,,
468.5,8.449e-4,8.449e-4,,
468.55,1.885e-3,1.885e-3,,
468.6,4.112e-3,4.112e-3,,
468.65,8.769e-3,8.769e-3,,
468.7,1.828e-2,1.828e-2,,
468.75,3.726e-2,3.726e-2,,
468.8,7.425e-2,7.425e-2,,
468.85,1.447e-1,1.447e-1,,
468.9,2.755e-1,2.755e-1,,
468.95,5.130e-1,5.130e-1,,
469,9.338e-1,9.338e-1,,
469.05,1.662e+0,1.662e+0,,
469.1,2.892e+0,2.892e+0,,
469.15,4.919e+0,4.919e+0,,
469.2,8.180e+0,8.180e+0,,
469.25,1.330e+1,1.330e+1,,
469.3,2.114e+1,2.114e+1,,
469.35,3.285e+1,3.285e+1,,
469.4,4.991e+1,4.991e+1,,
469.45,7.413e+1,7.413e+1,,
469.5,1.076e+2,1.076e+2,,
469.55,1.528e+2,1.528e+2,,
469.6,2.121e+2,2.121e+2,,
469.65,2.878e+2,2.878e+2,,
469.7,3.817e+2,3.817e+2,,
469.75,4.951e+2,4.951e+2,,
469.8,6.277e+2,6.277e+2,,
469.85,7.781e+2,7.781e+2,,
469.9,9.429e+2,9.429e+2,,
469.95,1.117e+3,1.117e+3,,
470,1.294e+3,1.294e+3,,
470.05,1.465e+3,1.465e+3,,
470.1,1.622e+3,1.622e+3,,
470.15,1.756e+3,1.756e+3,,
470.2,1.858e+3,1.858e+3,,
470.25,1.922e+3,1.922e+3,,
470.3,1.944e+3,1.944e+3,,
470.35,1.922e+3,1.922e+3,,
470.4,1.858e+3,1.858e+3,,
470.45,1.756e+3,1.756e+3,,
470.5,1.622e+3,1.622e+3,,
470.55,1.465e+3,1.465e+3,,
470.6,1.294e+3,1.294e+3,,
470.65,1.117e+3,1.117e+3,,
470.7,9.429e+2,9.429e+2,,
470.75,7.781e+2,7.781e+2,,
470.8,6.277e+2,6.277e+2,,
470.85,4.951e+2,4.951e+2,,
470.9,3.817e+2,3.817e+2,,
470.95,2.878e+2,2.878e+2,,
471,2.121e+2,2.121e+2,,
471.05,1.528e+2,1.528e+2,,
471.1,1.076e+2,1.076e+2,5.995e-15,
471.15,7.413e+1,7.413e+1,2.121e-14,
471.2,4.991e+1,4.991e+1,7.339e-14,
471.25,3.285e+1,3.285e+1,2.483e-13,
471.3,2.114e+1,2.114e+1,8.219e-13,
471.35,1.330e+1,1.330e+1,2.660e-12,
471.4,8.180e+0,8.180e+0,8.420e-12,
471.45,4.919e+0,4.919e+0,2.607e-11,
471.5,2.893e+0,2.893e+0,7.892e-11,
471.55,1.664e+0,1.664e+0,2.337e-10,
471.6,9.376e-1,9.376e-1,6.766e-10,
471.65,5.199e-1,5.199e-1,1.916e-9,
471.7,2.881e-1,2.881e-1,5.308e-9,
471.75,1.669e-1,1.669e-1,1.438e-8,
471.8,1.127e-1,1.127e-1,3.809e-8,
471.85,1.023e-1,1.023e-1,9.868e-8,
471.9,1.258e-1,1.258e-1,2.500e-7,
471.95,1.827e-1,1.827e-1,6.196e-7,
472,2.790e-1,2.790e-1,1.502e-6,
472.05,4.270e-1,4.270e-1,3.559e-6,
472.1,6.436e-1,6.436e-1,8.250e-6,
472.15,9.508e-1,9.508e-1,1.870e-5,
472.2,1.374e+0,1.374e+0,4.147e-5,
472.25,1.943e+0,1.943e+0,8.992e-5,
472.3,2.687e+0,2.687e+0,1.907e-4,
472.35,3.633e+0,3.633e+0,3.955e-4,
472.4,4.804e+0,4.804e+0,8.021e-4,
472.45,6.213e+0,6.211e+0,1.591e-3,
472.5,7.857e+0,7.854e+0,3.087e-3,
472.55,9.717e+0,9.712e+0,5.857e-3,
472.6,1.175e+1,1.174e+1,1.087e-2,
472.65,1.391e+1,1.389e+1,1.972e-2,
472.7,1.609e+1,1.606e+1,3.500e-2,
472.75,1.822e+1,1.816e+1,6.075e-2,
472.8,2.018e+1,2.008e+1,1.031e-1,
472.85,2.188e+1,2.171e+1,1.712e-1,
472.9,2.324e+1,2.296e+1,2.780e-1,
472.95,2.418e+1,2.374e+1,4.414e-1,
473,2.469e+1,2.401e+1,6.855e-1,
473.05,2.478e+1,2.374e+1,1.041e+0,
473.1,2.451e+1,2.296e+1,1.546e+0,
473.15,2.396e+1,2.171e+1,2.246e+0,
473.2,2.327e+1,2.008e+1,3.192e+0,
473.25,2.259e+1,1.816e+1,4.435e+0,
473.3,2.208e+1,1.606e+1,6.026e+0,
473.35,2.189e+1,1.389e+1,8.008e+0,
473.4,2.215e+1,1.174e+1,1.041e+1,
473.45,2.294e+1,9.712e+0,1.323e+1,
473.5,2.430e+1,7.854e+0,1.645e+1,
473.55,2.621e+1,6.211e+0,2.000e+1,
473.6,2.858e+1,4.804e+0,2.377e+1,
473.65,3.128e+1,3.633e+0,2.765e+1,
473.7,3.413e+1,2.687e+0,3.144e+1,
473.75,3.691e+1,1.943e+0,3.497e+1,
473.8,3.941e+1,1.374e+0,3.804e+1,
473.85,4.142e+1,9.504e-1,4.047e+1,
473.9,4.274e+1,6.428e-1,4.210e+1,
473.95,4.326e+1,4.251e-1,4.284e+1,
474,4.290e+1,2.749e-1,4.263e+1,
474.05,4.166e+1,1.739e-1,4.149e+1,
474.1,3.960e+1,1.075e-1,3.949e+1,
474.15,3.682e+1,6.504e-2,3.676e+1,
474.2,3.350e+1,3.847e-2,3.346e+1,
474.25,2.981e+1,2.225e-2,2.979e+1,
474.3,2.595e+1,1.258e-2,2.594e+1,
474.35,2.210e+1,6.961e-3,2.209e+1,
474.4,1.840e+1,3.765e-3,1.840e+1,
474.45,1.499e+1,1.991e-3,1.499e+1,
474.5,1.194e+1,1.030e-3,1.194e+1,
474.55,9.300e+0,5.209e-4,9.300e+0,
474.6,7.086e+0,2.577e-4,7.086e+0,
474.65,5.280e+0,1.246e-4,5.280e+0,
474.7,3.848e+0,5.895e-5,3.848e+0,
474.75,2.742e+0,2.727e-5,2.742e+0,
474.8,1.911e+0,1.233e-5,1.911e+0,
474.85,1.303e+0,5.455e-6,1.303e+0,
474.9,8.686e-1,2.360e-6,8.686e-1,
474.95,5.664e-1,9.981e-7,5.664e-1,
475,3.611e-1,4.129e-7,3.611e-1,
475.05,2.252e-1,1.670e-7,2.252e-1,
475.1,1.374e-1,6.606e-8,1.374e-1,
475.15,8.193e-2,2.555e-8,8.193e-2,
475.2,4.780e-2,9.666e-9,4.780e-2,
475.25,2.727e-2,3.576e-9,2.727e-2,
475.3,1.521e-2,1.293e-9,1.521e-2,
475.35,8.302e-3,4.575e-10,8.302e-3,
475.4,4.431e-3,1.583e-10,4.431e-3,
475.45,2.313e-3,5.354e-11,2.313e-3,
475.5,1.180e-3,1.771e-11,1.180e-3,
475.55,5.893e-4,5.729e-12,5.893e-4,
475.6,2.877e-4,1.812e-12,2.877e-4,
475.65,1.374e-4,5.607e-13,1.374e-4,
475.7,6.415e-5,1.696e-13,6.415e-5,
475.75,2.930e-5,5.018e-14,2.930e-5,
475.8,1.308e-5,1.452e-14,1.308e-5,
475.85,5.715e-6,4.106e-15,5.715e-6,
475.9,2.442e-6,,2.442e-6,
475.95,1.020e-6,,1.020e-6,
476,4.168e-7,,4.168e-7,
476.05,1.666e-7,,1.666e-7,
476.1,6.510e-8,,6.510e-8,
476.15,2.488e-8,,2.488e-8,
476.2,9.301e-9,,9.301e-9,
476.25,3.400e-9,,3.400e-9,
476.3,1.216e-9,,1.216e-9,
476.35,4.251e-10,,4.251e-10,
476.4,1.454e-10,,1.454e-10,
476.45,4.862e-11,,4.862e-11,
